Precinct,,,,Electionwide,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY "" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes,,,,,,,,,,,,,,,
Total,353,"1,844",,Total,1,0.29%,0,0.00%,22,6.49%,,0,0.00%,10,2.95%,,3,0.88%,0,0.00%,5,1.47%,130,38.35%,0,0.00%,25,7.37%,0,0.00%,0,0.00%,30,8.85%,0,0.00%,0,0.00%,11,3.24%,97,28.61%,5,1.47%,0,0.00%,0,0.00%,339,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000080,,,,0000080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,0,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,0,0,,Vote by Mail,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,0,0,,Total,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
0000081,,,,0000081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,61,"1,736",,Polling,0,0.00%,0,0.00%,11,18.33%,,0,0.00%,1,1.67%,,0,0.00%,0,0.00%,0,0.00%,30,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1.67%,0,0.00%,0,0.00%,0,0.00%,17,28.33%,0,0.00%,0,0.00%,0,0.00%,60,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,378,"1,736",,Vote by Mail,0,0.00%,0,0.00%,45,12.30%,,0,0.00%,3,0.82%,,1,0.27%,1,0.27%,16,4.37%,102,27.87%,0,0.00%,15,4.10%,0,0.00%,0,0.00%,47,12.84%,0,0.00%,1,0.27%,22,6.01%,111,30.33%,2,0.55%,0,0.00%,0,0.00%,366,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,439,"1,736",,Total,0,0.00%,0,0.00%,56,13.15%,,0,0.00%,4,0.94%,,1,0.23%,1,0.23%,16,3.76%,132,30.99%,0,0.00%,15,3.52%,0,0.00%,0,0.00%,48,11.27%,0,0.00%,1,0.23%,22,5.16%,128,30.05%,2,0.47%,0,0.00%,0,0.00%,426,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000082,,,,0000082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,21,837,,Polling,0,0.00%,0,0.00%,3,14.29%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,10,47.62%,0,0.00%,1,4.76%,0,0.00%,0,0.00%,1,4.76%,0,0.00%,0,0.00%,0,0.00%,6,28.57%,0,0.00%,0,0.00%,0,0.00%,21,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,128,837,,Vote by Mail,1,0.79%,0,0.00%,7,5.51%,,0,0.00%,3,2.36%,,0,0.00%,2,1.57%,1,0.79%,49,38.58%,0,0.00%,5,3.94%,0,0.00%,0,0.00%,11,8.66%,0,0.00%,0,0.00%,4,3.15%,43,33.86%,1,0.79%,0,0.00%,0,0.00%,127,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,149,837,,Total,1,0.68%,0,0.00%,10,6.76%,,0,0.00%,3,2.03%,,0,0.00%,2,1.35%,1,0.68%,59,39.86%,0,0.00%,6,4.05%,0,0.00%,0,0.00%,12,8.11%,0,0.00%,0,0.00%,4,2.70%,49,33.11%,1,0.68%,0,0.00%,0,0.00%,148,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000083,,,,0000083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,62,"2,529",,Polling,0,0.00%,0,0.00%,5,8.06%,,1,1.61%,1,1.61%,,0,0.00%,0,0.00%,0,0.00%,25,40.32%,0,0.00%,1,1.61%,0,0.00%,0,0.00%,5,8.06%,0,0.00%,0,0.00%,0,0.00%,23,37.10%,1,1.61%,0,0.00%,0,0.00%,62,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,406,"2,529",,Vote by Mail,1,0.25%,0,0.00%,47,11.96%,,0,0.00%,3,0.76%,,0,0.00%,0,0.00%,17,4.33%,94,23.92%,1,0.25%,17,4.33%,0,0.00%,0,0.00%,53,13.49%,0,0.00%,0,0.00%,23,5.85%,135,34.35%,2,0.51%,0,0.00%,0,0.00%,393,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,468,"2,529",,Total,1,0.22%,0,0.00%,52,11.43%,,1,0.22%,4,0.88%,,0,0.00%,0,0.00%,17,3.74%,119,26.15%,1,0.22%,18,3.96%,0,0.00%,0,0.00%,58,12.75%,0,0.00%,0,0.00%,23,5.05%,158,34.73%,3,0.66%,0,0.00%,0,0.00%,455,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000084,,,,0000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,100,"2,230",,Polling,0,0.00%,0,0.00%,6,6.00%,,0,0.00%,1,1.00%,,0,0.00%,0,0.00%,1,1.00%,46,46.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,8.00%,0,0.00%,0,0.00%,1,1.00%,37,37.00%,0,0.00%,0,0.00%,0,0.00%,100,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,431,"2,230",,Vote by Mail,0,0.00%,0,0.00%,38,9.29%,,2,0.49%,6,1.47%,,0,0.00%,0,0.00%,10,2.44%,128,31.30%,1,0.24%,7,1.71%,0,0.00%,0,0.00%,58,14.18%,1,0.24%,1,0.24%,35,8.56%,118,28.85%,4,0.98%,0,0.00%,0,0.00%,409,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,531,"2,230",,Total,0,0.00%,0,0.00%,44,8.64%,,2,0.39%,7,1.38%,,0,0.00%,0,0.00%,11,2.16%,174,34.18%,1,0.20%,7,1.38%,0,0.00%,0,0.00%,66,12.97%,1,0.20%,1,0.20%,36,7.07%,155,30.45%,4,0.79%,0,0.00%,0,0.00%,509,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000085,,,,0000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,111,"3,302",,Polling,0,0.00%,0,0.00%,14,12.73%,,0,0.00%,1,0.91%,,0,0.00%,0,0.00%,2,1.82%,40,36.36%,0,0.00%,2,1.82%,0,0.00%,0,0.00%,11,10.00%,0,0.00%,0,0.00%,2,1.82%,36,32.73%,1,0.91%,1,0.91%,0,0.00%,110,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,703,"3,302",,Vote by Mail,1,0.15%,0,0.00%,89,13.22%,,2,0.30%,5,0.74%,,0,0.00%,1,0.15%,35,5.20%,129,19.17%,0,0.00%,32,4.75%,0,0.00%,0,0.00%,102,15.16%,0,0.00%,1,0.15%,52,7.73%,218,32.39%,5,0.74%,1,0.15%,0,0.00%,673,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,814,"3,302",,Total,1,0.13%,0,0.00%,103,13.15%,,2,0.26%,6,0.77%,,0,0.00%,1,0.13%,37,4.73%,169,21.58%,0,0.00%,34,4.34%,0,0.00%,0,0.00%,113,14.43%,0,0.00%,1,0.13%,54,6.90%,254,32.44%,6,0.77%,2,0.26%,0,0.00%,783,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000086,,,,0000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,94,"2,357",,Polling,0,0.00%,0,0.00%,8,8.60%,,0,0.00%,1,1.08%,,0,0.00%,0,0.00%,0,0.00%,39,41.94%,0,0.00%,4,4.30%,0,0.00%,0,0.00%,5,5.38%,0,0.00%,0,0.00%,0,0.00%,36,38.71%,0,0.00%,0,0.00%,0,0.00%,93,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,468,"2,357",,Vote by Mail,2,0.45%,0,0.00%,36,8.11%,,1,0.23%,3,0.68%,,1,0.23%,0,0.00%,18,4.05%,139,31.31%,0,0.00%,17,3.83%,0,0.00%,0,0.00%,56,12.61%,1,0.23%,1,0.23%,30,6.76%,137,30.86%,2,0.45%,0,0.00%,0,0.00%,444,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,562,"2,357",,Total,2,0.37%,0,0.00%,44,8.19%,,1,0.19%,4,0.74%,,1,0.19%,0,0.00%,18,3.35%,178,33.15%,0,0.00%,21,3.91%,0,0.00%,0,0.00%,61,11.36%,1,0.19%,1,0.19%,30,5.59%,173,32.22%,2,0.37%,0,0.00%,0,0.00%,537,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000087,,,,0000087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,83,"2,866",,Polling,0,0.00%,0,0.00%,9,11.11%,,0,0.00%,1,1.23%,,0,0.00%,0,0.00%,1,1.23%,36,44.44%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,6.17%,0,0.00%,0,0.00%,0,0.00%,29,35.80%,0,0.00%,0,0.00%,0,0.00%,81,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,584,"2,866",,Vote by Mail,0,0.00%,0,0.00%,60,10.54%,,1,0.18%,10,1.76%,,1,0.18%,0,0.00%,30,5.27%,113,19.86%,0,0.00%,19,3.34%,0,0.00%,0,0.00%,86,15.11%,0,0.00%,0,0.00%,50,8.79%,195,34.27%,4,0.70%,0,0.00%,0,0.00%,569,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,667,"2,866",,Total,0,0.00%,0,0.00%,69,10.62%,,1,0.15%,11,1.69%,,1,0.15%,0,0.00%,31,4.77%,149,22.92%,0,0.00%,19,2.92%,0,0.00%,0,0.00%,91,14.00%,0,0.00%,0,0.00%,50,7.69%,224,34.46%,4,0.62%,0,0.00%,0,0.00%,650,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000088,,,,0000088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,93,"2,579",,Polling,0,0.00%,0,0.00%,11,11.96%,,0,0.00%,1,1.09%,,0,0.00%,1,1.09%,1,1.09%,48,52.17%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,9.78%,0,0.00%,0,0.00%,3,3.26%,18,19.57%,0,0.00%,0,0.00%,0,0.00%,92,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,496,"2,579",,Vote by Mail,0,0.00%,0,0.00%,60,12.47%,,0,0.00%,3,0.62%,,0,0.00%,0,0.00%,13,2.70%,130,27.03%,0,0.00%,24,4.99%,0,0.00%,0,0.00%,86,17.88%,0,0.00%,1,0.21%,29,6.03%,133,27.65%,2,0.42%,0,0.00%,0,0.00%,481,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,589,"2,579",,Total,0,0.00%,0,0.00%,71,12.39%,,0,0.00%,4,0.70%,,0,0.00%,1,0.17%,14,2.44%,178,31.06%,0,0.00%,24,4.19%,0,0.00%,0,0.00%,95,16.58%,0,0.00%,1,0.17%,32,5.58%,151,26.35%,2,0.35%,0,0.00%,0,0.00%,573,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000089,,,,0000089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,27,"1,191",,Polling,0,0.00%,0,0.00%,4,14.81%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,8,29.63%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,18.52%,0,0.00%,0,0.00%,0,0.00%,10,37.04%,0,0.00%,0,0.00%,0,0.00%,27,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,270,"1,191",,Vote by Mail,1,0.38%,0,0.00%,23,8.68%,,0,0.00%,4,1.51%,,0,0.00%,0,0.00%,13,4.91%,49,18.49%,0,0.00%,18,6.79%,0,0.00%,0,0.00%,48,18.11%,0,0.00%,0,0.00%,23,8.68%,85,32.08%,0,0.00%,1,0.38%,0,0.00%,265,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,297,"1,191",,Total,1,0.34%,0,0.00%,27,9.25%,,0,0.00%,4,1.37%,,0,0.00%,0,0.00%,13,4.45%,57,19.52%,0,0.00%,18,6.16%,0,0.00%,0,0.00%,53,18.15%,0,0.00%,0,0.00%,23,7.88%,95,32.53%,0,0.00%,1,0.34%,0,0.00%,292,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000090,,,,0000090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,74,"2,081",,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,1,1.35%,,0,0.00%,0,0.00%,0,0.00%,51,68.92%,1,1.35%,0,0.00%,0,0.00%,0,0.00%,5,6.76%,0,0.00%,0,0.00%,0,0.00%,16,21.62%,0,0.00%,0,0.00%,0,0.00%,74,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,322,"2,081",,Vote by Mail,1,0.32%,0,0.00%,26,8.33%,,1,0.32%,7,2.24%,,1,0.32%,0,0.00%,4,1.28%,133,42.63%,0,0.00%,17,5.45%,0,0.00%,0,0.00%,37,11.86%,0,0.00%,1,0.32%,16,5.13%,68,21.79%,0,0.00%,0,0.00%,0,0.00%,312,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,396,"2,081",,Total,1,0.26%,0,0.00%,26,6.74%,,1,0.26%,8,2.07%,,1,0.26%,0,0.00%,4,1.04%,184,47.67%,1,0.26%,17,4.40%,0,0.00%,0,0.00%,42,10.88%,0,0.00%,1,0.26%,16,4.15%,84,21.76%,0,0.00%,0,0.00%,0,0.00%,386,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000091,,,,0000091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,102,"2,506",,Polling,0,0.00%,0,0.00%,8,7.92%,,0,0.00%,1,0.99%,,0,0.00%,1,0.99%,0,0.00%,60,59.41%,0,0.00%,1,0.99%,0,0.00%,0,0.00%,5,4.95%,0,0.00%,0,0.00%,0,0.00%,24,23.76%,1,0.99%,0,0.00%,0,0.00%,101,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,420,"2,506",,Vote by Mail,1,0.24%,0,0.00%,38,9.20%,,1,0.24%,5,1.21%,,0,0.00%,1,0.24%,17,4.12%,117,28.33%,1,0.24%,20,4.84%,0,0.00%,1,0.24%,66,15.98%,0,0.00%,0,0.00%,13,3.15%,129,31.23%,3,0.73%,0,0.00%,0,0.00%,413,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,522,"2,506",,Total,1,0.19%,0,0.00%,46,8.95%,,1,0.19%,6,1.17%,,0,0.00%,2,0.39%,17,3.31%,177,34.44%,1,0.19%,21,4.09%,0,0.00%,1,0.19%,71,13.81%,0,0.00%,0,0.00%,13,2.53%,153,29.77%,4,0.78%,0,0.00%,0,0.00%,514,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000092,,,,0000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,108,"2,196",,Polling,1,0.93%,0,0.00%,4,3.70%,,0,0.00%,2,1.85%,,0,0.00%,0,0.00%,0,0.00%,74,68.52%,1,0.93%,1,0.93%,0,0.00%,0,0.00%,7,6.48%,0,0.00%,0,0.00%,0,0.00%,18,16.67%,0,0.00%,0,0.00%,0,0.00%,108,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,396,"2,196",,Vote by Mail,0,0.00%,1,0.27%,43,11.41%,,1,0.27%,2,0.53%,,0,0.00%,0,0.00%,10,2.65%,150,39.79%,0,0.00%,16,4.24%,0,0.00%,0,0.00%,37,9.81%,0,0.00%,0,0.00%,12,3.18%,102,27.06%,3,0.80%,0,0.00%,0,0.00%,377,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,504,"2,196",,Total,1,0.21%,1,0.21%,47,9.69%,,1,0.21%,4,0.82%,,0,0.00%,0,0.00%,10,2.06%,224,46.19%,1,0.21%,17,3.51%,0,0.00%,0,0.00%,44,9.07%,0,0.00%,0,0.00%,12,2.47%,120,24.74%,3,0.62%,0,0.00%,0,0.00%,485,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000093,,,,0000093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,100,"1,512",,Polling,0,0.00%,0,0.00%,7,7.07%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,1.01%,72,72.73%,0,0.00%,1,1.01%,0,0.00%,1,1.01%,4,4.04%,0,0.00%,0,0.00%,1,1.01%,12,12.12%,0,0.00%,0,0.00%,0,0.00%,99,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,206,"1,512",,Vote by Mail,0,0.00%,0,0.00%,13,6.40%,,0,0.00%,5,2.46%,,0,0.00%,0,0.00%,3,1.48%,106,52.22%,0,0.00%,7,3.45%,0,0.00%,0,0.00%,27,13.30%,0,0.00%,0,0.00%,3,1.48%,38,18.72%,1,0.49%,0,0.00%,0,0.00%,203,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,306,"1,512",,Total,0,0.00%,0,0.00%,20,6.62%,,0,0.00%,5,1.66%,,0,0.00%,0,0.00%,4,1.32%,178,58.94%,0,0.00%,8,2.65%,0,0.00%,1,0.33%,31,10.26%,0,0.00%,0,0.00%,4,1.32%,50,16.56%,1,0.33%,0,0.00%,0,0.00%,302,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000094,,,,0000094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,100,"2,875",,Polling,0,0.00%,0,0.00%,15,15.15%,,0,0.00%,2,2.02%,,0,0.00%,0,0.00%,2,2.02%,45,45.45%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,5.05%,0,0.00%,1,1.01%,1,1.01%,28,28.28%,0,0.00%,0,0.00%,0,0.00%,99,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,574,"2,875",,Vote by Mail,0,0.00%,0,0.00%,48,8.65%,,0,0.00%,4,0.72%,,1,0.18%,1,0.18%,22,3.96%,159,28.65%,1,0.18%,24,4.32%,1,0.18%,1,0.18%,85,15.32%,1,0.18%,0,0.00%,31,5.59%,173,31.17%,3,0.54%,0,0.00%,0,0.00%,555,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,674,"2,875",,Total,0,0.00%,0,0.00%,63,9.63%,,0,0.00%,6,0.92%,,1,0.15%,1,0.15%,24,3.67%,204,31.19%,1,0.15%,24,3.67%,1,0.15%,1,0.15%,90,13.76%,1,0.15%,1,0.15%,32,4.89%,201,30.73%,3,0.46%,0,0.00%,0,0.00%,654,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000095,,,,0000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,73,"2,473",,Polling,0,0.00%,0,0.00%,6,8.45%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,36,50.70%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,7.04%,0,0.00%,0,0.00%,1,1.41%,23,32.39%,0,0.00%,0,0.00%,0,0.00%,71,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,450,"2,473",,Vote by Mail,1,0.23%,0,0.00%,34,7.91%,,2,0.47%,7,1.63%,,0,0.00%,1,0.23%,7,1.63%,119,27.67%,0,0.00%,25,5.81%,0,0.00%,1,0.23%,56,13.02%,0,0.00%,4,0.93%,24,5.58%,139,32.33%,10,2.33%,0,0.00%,0,0.00%,430,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,523,"2,473",,Total,1,0.20%,0,0.00%,40,7.98%,,2,0.40%,7,1.40%,,0,0.00%,1,0.20%,7,1.40%,155,30.94%,0,0.00%,25,4.99%,0,0.00%,1,0.20%,61,12.18%,0,0.00%,4,0.80%,25,4.99%,162,32.34%,10,2.00%,0,0.00%,0,0.00%,501,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000096,,,,0000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,31,760,,Polling,0,0.00%,0,0.00%,6,19.35%,,0,0.00%,1,3.23%,,0,0.00%,0,0.00%,0,0.00%,16,51.61%,0,0.00%,1,3.23%,0,0.00%,0,0.00%,1,3.23%,0,0.00%,0,0.00%,0,0.00%,6,19.35%,0,0.00%,0,0.00%,0,0.00%,31,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,90,760,,Vote by Mail,1,1.18%,0,0.00%,12,14.12%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,36,42.35%,0,0.00%,3,3.53%,0,0.00%,0,0.00%,10,11.76%,0,0.00%,0,0.00%,0,0.00%,23,27.06%,0,0.00%,0,0.00%,0,0.00%,85,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,121,760,,Total,1,0.86%,0,0.00%,18,15.52%,,0,0.00%,1,0.86%,,0,0.00%,0,0.00%,0,0.00%,52,44.83%,0,0.00%,4,3.45%,0,0.00%,0,0.00%,11,9.48%,0,0.00%,0,0.00%,0,0.00%,29,25.00%,0,0.00%,0,0.00%,0,0.00%,116,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000097,,,,0000097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,53,"1,922",,Polling,0,0.00%,0,0.00%,7,13.46%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,25,48.08%,0,0.00%,1,1.92%,0,0.00%,0,0.00%,3,5.77%,0,0.00%,0,0.00%,1,1.92%,15,28.85%,0,0.00%,0,0.00%,0,0.00%,52,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,378,"1,922",,Vote by Mail,1,0.27%,3,0.81%,41,11.08%,,1,0.27%,4,1.08%,,0,0.00%,0,0.00%,12,3.24%,105,28.38%,0,0.00%,11,2.97%,0,0.00%,0,0.00%,43,11.62%,0,0.00%,0,0.00%,21,5.68%,123,33.24%,5,1.35%,0,0.00%,0,0.00%,370,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,431,"1,922",,Total,1,0.24%,3,0.71%,48,11.37%,,1,0.24%,4,0.95%,,0,0.00%,0,0.00%,12,2.84%,130,30.81%,0,0.00%,12,2.84%,0,0.00%,0,0.00%,46,10.90%,0,0.00%,0,0.00%,22,5.21%,138,32.70%,5,1.18%,0,0.00%,0,0.00%,422,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000098,,,,0000098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,51,"1,653",,Polling,0,0.00%,0,0.00%,1,2.04%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,2.04%,24,48.98%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,2.04%,0,0.00%,0,0.00%,1,2.04%,21,42.86%,0,0.00%,0,0.00%,0,0.00%,49,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
