Electionwide,,,,Electionwide,"JULIÁN CASTRO (DEM) ",,"MICHAEL A. ELLINGER (DEM) ",,"ELIZABETH WARREN (DEM) ",,,"MARIANNE WILLIAMSON (DEM) ",,"ANDREW YANG (DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM) ",,"JOHN K. DELANEY (DEM) ",,"AMY KLOBUCHAR (DEM) ",,"BERNIE SANDERS (DEM) ",,"JOE SESTAK (DEM) ",,"TOM STEYER (DEM) ",,"DEVAL PATRICK (DEM) ",,"MICHAEL BENNET (DEM) ",,"MICHAEL R. BLOOMBERG (DEM) ",,"MOSIE BOYD (DEM) ",,"CORY BOOKER (DEM) ",,"PETE BUTTIGIEG (DEM) ",,"JOSEPH R. BIDEN (DEM) ",,"TULSI GABBARD (DEM) ",,"MARK STEWART GREENSTEIN (DEM) ",,,,Total Votes,,,,,,,,,,,,,,
Total,2,2,,Total,0,0.00%,0,0.00%,76,17.92%,,1,0.24%,4,0.94%,,0,0.00%,0,0.00%,7,1.65%,119,28.07%,0,0.00%,3,0.71%,0,0.00%,0,0.00%,59,13.92%,0,0.00%,1,0.24%,23,5.42%,127,29.95%,4,0.94%,0,0.00%,0,0.00%,424,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7208,,,,Pct 7208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,39,19.40%,,0,0.00%,1,0.50%,,1,0.50%,0,0.00%,8,3.98%,46,22.89%,0,0.00%,2,1.00%,0,0.00%,0,0.00%,38,18.91%,0,0.00%,0,0.00%,16,7.96%,50,24.88%,0,0.00%,0,0.00%,0,0.00%,201,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,23,22.12%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,32,30.77%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,9.62%,0,0.00%,0,0.00%,0,0.00%,39,37.50%,0,0.00%,0,0.00%,0,0.00%,104,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,62,20.33%,,0,0.00%,1,0.33%,,1,0.33%,0,0.00%,8,2.62%,78,25.57%,0,0.00%,2,0.66%,0,0.00%,0,0.00%,48,15.74%,0,0.00%,0,0.00%,16,5.25%,89,29.18%,0,0.00%,0,0.00%,0,0.00%,305,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7209,,,,Pct 7209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,44,16.48%,,0,0.00%,3,1.12%,,0,0.00%,0,0.00%,26,9.74%,37,13.86%,0,0.00%,3,1.12%,0,0.00%,0,0.00%,78,29.21%,0,0.00%,0,0.00%,24,8.99%,52,19.48%,0,0.00%,0,0.00%,0,0.00%,267,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,9,11.84%,,0,0.00%,1,1.32%,,0,0.00%,0,0.00%,0,0.00%,23,30.26%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,15.79%,0,0.00%,0,0.00%,0,0.00%,31,40.79%,0,0.00%,0,0.00%,0,0.00%,76,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,53,15.45%,,0,0.00%,4,1.17%,,0,0.00%,0,0.00%,26,7.58%,60,17.49%,0,0.00%,3,0.87%,0,0.00%,0,0.00%,90,26.24%,0,0.00%,0,0.00%,24,7.00%,83,24.20%,0,0.00%,0,0.00%,0,0.00%,343,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7301,,,,Pct 7301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,1,,Vote by Mail,1,0.41%,1,0.41%,42,17.43%,,0,0.00%,7,2.90%,,0,0.00%,0,0.00%,6,2.49%,84,34.85%,0,0.00%,7,2.90%,0,0.00%,0,0.00%,29,12.03%,0,0.00%,0,0.00%,14,5.81%,50,20.75%,0,0.00%,0,0.00%,0,0.00%,241,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,5,0,,Election Day,0,0.00%,0,0.00%,22,15.71%,,0,0.00%,1,0.71%,,0,0.00%,0,0.00%,0,0.00%,71,50.71%,0,0.00%,1,0.71%,0,0.00%,0,0.00%,9,6.43%,0,0.00%,0,0.00%,0,0.00%,35,25.00%,1,0.71%,0,0.00%,0,0.00%,140,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,7,1,,Total,1,0.26%,1,0.26%,64,16.80%,,0,0.00%,8,2.10%,,0,0.00%,0,0.00%,6,1.57%,155,40.68%,0,0.00%,8,2.10%,0,0.00%,0,0.00%,38,9.97%,0,0.00%,0,0.00%,14,3.67%,85,22.31%,1,0.26%,0,0.00%,0,0.00%,381,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7302,,,,Pct 7302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,0,,Vote by Mail,0,0.00%,0,0.00%,39,14.55%,,0,0.00%,4,1.49%,,0,0.00%,0,0.00%,10,3.73%,62,23.13%,0,0.00%,4,1.49%,0,0.00%,0,0.00%,63,23.51%,0,0.00%,1,0.37%,14,5.22%,69,25.75%,2,0.75%,0,0.00%,0,0.00%,268,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,20,14.81%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,36,26.67%,0,0.00%,1,0.74%,0,0.00%,0,0.00%,18,13.33%,0,0.00%,0,0.00%,1,0.74%,59,43.70%,0,0.00%,0,0.00%,0,0.00%,135,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,4,0,,Total,0,0.00%,0,0.00%,59,14.64%,,0,0.00%,4,0.99%,,0,0.00%,0,0.00%,10,2.48%,98,24.32%,0,0.00%,5,1.24%,0,0.00%,0,0.00%,81,20.10%,0,0.00%,1,0.25%,15,3.72%,128,31.76%,2,0.50%,0,0.00%,0,0.00%,403,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7303,,,,Pct 7303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,67,21.61%,,0,0.00%,9,2.90%,,0,0.00%,0,0.00%,7,2.26%,95,30.65%,0,0.00%,6,1.94%,0,0.00%,0,0.00%,48,15.48%,0,0.00%,0,0.00%,21,6.77%,57,18.39%,0,0.00%,0,0.00%,0,0.00%,310,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,67,28.15%,,0,0.00%,3,1.26%,,0,0.00%,0,0.00%,0,0.00%,66,27.73%,0,0.00%,1,0.42%,0,0.00%,1,0.42%,17,7.14%,0,0.00%,0,0.00%,0,0.00%,82,34.45%,1,0.42%,0,0.00%,0,0.00%,238,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,134,24.45%,,0,0.00%,12,2.19%,,0,0.00%,0,0.00%,7,1.28%,161,29.38%,0,0.00%,7,1.28%,0,0.00%,1,0.18%,65,11.86%,0,0.00%,0,0.00%,21,3.83%,139,25.36%,1,0.18%,0,0.00%,0,0.00%,548,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7304,,,,Pct 7304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,0,,Vote by Mail,0,0.00%,0,0.00%,76,25.00%,,0,0.00%,8,2.63%,,0,0.00%,0,0.00%,11,3.62%,78,25.66%,0,0.00%,2,0.66%,0,0.00%,0,0.00%,34,11.18%,0,0.00%,1,0.33%,21,6.91%,72,23.68%,1,0.33%,0,0.00%,0,0.00%,304,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,1,0.44%,55,24.02%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.44%,57,24.89%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,27,11.79%,0,0.00%,0,0.00%,1,0.44%,87,37.99%,0,0.00%,0,0.00%,0,0.00%,229,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,0,0.00%,1,0.19%,131,24.58%,,0,0.00%,8,1.50%,,0,0.00%,0,0.00%,12,2.25%,135,25.33%,0,0.00%,2,0.38%,0,0.00%,0,0.00%,61,11.44%,0,0.00%,1,0.19%,22,4.13%,159,29.83%,1,0.19%,0,0.00%,0,0.00%,533,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7305,,,,Pct 7305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,68,22.90%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,18,6.06%,59,19.87%,0,0.00%,3,1.01%,0,0.00%,2,0.67%,56,18.86%,0,0.00%,0,0.00%,28,9.43%,63,21.21%,0,0.00%,0,0.00%,0,0.00%,297,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,33,17.84%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,54,29.19%,0,0.00%,1,0.54%,0,0.00%,0,0.00%,25,13.51%,0,0.00%,0,0.00%,0,0.00%,71,38.38%,1,0.54%,0,0.00%,0,0.00%,185,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,101,20.95%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,18,3.73%,113,23.44%,0,0.00%,4,0.83%,0,0.00%,2,0.41%,81,16.80%,0,0.00%,0,0.00%,28,5.81%,134,27.80%,1,0.21%,0,0.00%,0,0.00%,482,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7306,,,,Pct 7306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,60,20.69%,,1,0.34%,5,1.72%,,0,0.00%,0,0.00%,8,2.76%,80,27.59%,0,0.00%,4,1.38%,0,0.00%,0,0.00%,44,15.17%,0,0.00%,0,0.00%,24,8.28%,64,22.07%,0,0.00%,0,0.00%,0,0.00%,290,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,2,0,,Election Day,0,0.00%,0,0.00%,39,18.57%,,0,0.00%,3,1.43%,,0,0.00%,0,0.00%,0,0.00%,78,37.14%,0,0.00%,1,0.48%,0,0.00%,0,0.00%,26,12.38%,0,0.00%,0,0.00%,0,0.00%,63,30.00%,0,0.00%,0,0.00%,0,0.00%,210,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,0,0.00%,0,0.00%,99,19.80%,,1,0.20%,8,1.60%,,0,0.00%,0,0.00%,8,1.60%,158,31.60%,0,0.00%,5,1.00%,0,0.00%,0,0.00%,70,14.00%,0,0.00%,0,0.00%,24,4.80%,127,25.40%,0,0.00%,0,0.00%,0,0.00%,500,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7307,,,,Pct 7307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,58,26.24%,,0,0.00%,2,0.90%,,0,0.00%,0,0.00%,6,2.71%,56,25.34%,0,0.00%,3,1.36%,0,0.00%,0,0.00%,34,15.38%,0,0.00%,0,0.00%,15,6.79%,46,20.81%,1,0.45%,0,0.00%,0,0.00%,221,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,26,17.69%,,0,0.00%,1,0.68%,,0,0.00%,0,0.00%,0,0.00%,49,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,8.16%,0,0.00%,0,0.00%,0,0.00%,59,40.14%,0,0.00%,0,0.00%,0,0.00%,147,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,84,22.83%,,0,0.00%,3,0.82%,,0,0.00%,0,0.00%,6,1.63%,105,28.53%,0,0.00%,3,0.82%,0,0.00%,0,0.00%,46,12.50%,0,0.00%,0,0.00%,15,4.08%,105,28.53%,1,0.27%,0,0.00%,0,0.00%,368,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7308,,,,Pct 7308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,56,25.93%,,0,0.00%,1,0.46%,,0,0.00%,0,0.00%,9,4.17%,50,23.15%,0,0.00%,1,0.46%,0,0.00%,0,0.00%,38,17.59%,0,0.00%,0,0.00%,18,8.33%,43,19.91%,0,0.00%,0,0.00%,0,0.00%,216,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,35,21.60%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,47,29.01%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,22,13.58%,0,0.00%,0,0.00%,1,0.62%,57,35.19%,0,0.00%,0,0.00%,0,0.00%,162,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,91,24.07%,,0,0.00%,1,0.26%,,0,0.00%,0,0.00%,9,2.38%,97,25.66%,0,0.00%,1,0.26%,0,0.00%,0,0.00%,60,15.87%,0,0.00%,0,0.00%,19,5.03%,100,26.46%,0,0.00%,0,0.00%,0,0.00%,378,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7309,,,,Pct 7309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,58,22.75%,,0,0.00%,3,1.18%,,0,0.00%,0,0.00%,8,3.14%,59,23.14%,0,0.00%,2,0.78%,0,0.00%,0,0.00%,37,14.51%,0,0.00%,2,0.78%,15,5.88%,69,27.06%,2,0.78%,0,0.00%,0,0.00%,255,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,3,0,,Election Day,0,0.00%,0,0.00%,50,24.88%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,52,25.87%,0,0.00%,1,0.50%,0,0.00%,0,0.00%,18,8.96%,0,0.00%,0,0.00%,2,1.00%,76,37.81%,2,1.00%,0,0.00%,0,0.00%,201,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,5,0,,Total,0,0.00%,0,0.00%,108,23.68%,,0,0.00%,3,0.66%,,0,0.00%,0,0.00%,8,1.75%,111,24.34%,0,0.00%,3,0.66%,0,0.00%,0,0.00%,55,12.06%,0,0.00%,2,0.44%,17,3.73%,145,31.80%,4,0.88%,0,0.00%,0,0.00%,456,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7311,,,,Pct 7311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,1,,Vote by Mail,0,0.00%,0,0.00%,63,21.58%,,0,0.00%,1,0.34%,,0,0.00%,0,0.00%,6,2.05%,74,25.34%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,48,16.44%,0,0.00%,0,0.00%,20,6.85%,79,27.05%,1,0.34%,0,0.00%,0,0.00%,292,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,51,21.16%,,0,0.00%,1,0.41%,,0,0.00%,0,0.00%,2,0.83%,61,25.31%,0,0.00%,1,0.41%,0,0.00%,0,0.00%,29,12.03%,0,0.00%,0,0.00%,0,0.00%,96,39.83%,0,0.00%,0,0.00%,0,0.00%,241,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,0,1,,Total,0,0.00%,0,0.00%,114,21.39%,,0,0.00%,2,0.38%,,0,0.00%,0,0.00%,8,1.50%,135,25.33%,0,0.00%,1,0.19%,0,0.00%,0,0.00%,77,14.45%,0,0.00%,0,0.00%,20,3.75%,175,32.83%,1,0.19%,0,0.00%,0,0.00%,533,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7312,,,,Pct 7312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,2,,Vote by Mail,0,0.00%,0,0.00%,67,20.94%,,0,0.00%,3,0.94%,,0,0.00%,0,0.00%,6,1.88%,49,15.31%,0,0.00%,2,0.63%,0,0.00%,0,0.00%,97,30.31%,0,0.00%,0,0.00%,21,6.56%,75,23.44%,0,0.00%,0,0.00%,0,0.00%,320,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,26,16.56%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,36,22.93%,0,0.00%,0,0.00%,0,0.00%,1,0.64%,18,11.46%,0,0.00%,0,0.00%,0,0.00%,74,47.13%,2,1.27%,0,0.00%,0,0.00%,157,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,2,,Total,0,0.00%,0,0.00%,93,19.50%,,0,0.00%,3,0.63%,,0,0.00%,0,0.00%,6,1.26%,85,17.82%,0,0.00%,2,0.42%,0,0.00%,1,0.21%,115,24.11%,0,0.00%,0,0.00%,21,4.40%,149,31.24%,2,0.42%,0,0.00%,0,0.00%,477,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7313,,,,Pct 7313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,54,19.64%,,0,0.00%,9,3.27%,,0,0.00%,0,0.00%,2,0.73%,74,26.91%,0,0.00%,3,1.09%,0,0.00%,0,0.00%,57,20.73%,0,0.00%,0,0.00%,20,7.27%,55,20.00%,1,0.36%,0,0.00%,0,0.00%,275,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,33,19.30%,,1,0.58%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,60,35.09%,0,0.00%,0,0.00%,0,0.00%,1,0.58%,20,11.70%,0,0.00%,0,0.00%,2,1.17%,54,31.58%,0,0.00%,0,0.00%,0,0.00%,171,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,0,0.00%,0,0.00%,87,19.51%,,1,0.22%,9,2.02%,,0,0.00%,0,0.00%,2,0.45%,134,30.04%,0,0.00%,3,0.67%,0,0.00%,1,0.22%,77,17.26%,0,0.00%,0,0.00%,22,4.93%,109,24.44%,1,0.22%,0,0.00%,0,0.00%,446,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7314,,,,Pct 7314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,1,0.71%,17,12.06%,,1,0.71%,12,8.51%,,2,1.42%,0,0.00%,3,2.13%,47,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,9.93%,0,0.00%,0,0.00%,9,6.38%,35,24.82%,0,0.00%,0,0.00%,0,0.00%,141,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,12,15.19%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,35,44.30%,0,0.00%,0,0.00%,0,0.00%,1,1.27%,8,10.13%,0,0.00%,0,0.00%,0,0.00%,22,27.85%,1,1.27%,0,0.00%,0,0.00%,79,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,1,0.45%,29,13.18%,,1,0.45%,12,5.45%,,2,0.91%,0,0.00%,3,1.36%,82,37.27%,0,0.00%,0,0.00%,0,0.00%,1,0.45%,22,10.00%,0,0.00%,0,0.00%,9,4.09%,57,25.91%,1,0.45%,0,0.00%,0,0.00%,220,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7315,,,,Pct 7315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,26,16.67%,,0,0.00%,4,2.56%,,0,0.00%,0,0.00%,3,1.92%,56,35.90%,0,0.00%,1,0.64%,0,0.00%,0,0.00%,19,12.18%,0,0.00%,0,0.00%,8,5.13%,39,25.00%,0,0.00%,0,0.00%,0,0.00%,156,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,39,23.21%,,0,0.00%,2,1.19%,,0,0.00%,0,0.00%,0,0.00%,65,38.69%,0,0.00%,1,0.60%,0,0.00%,0,0.00%,19,11.31%,0,0.00%,0,0.00%,1,0.60%,41,24.40%,0,0.00%,0,0.00%,0,0.00%,168,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,65,20.06%,,0,0.00%,6,1.85%,,0,0.00%,0,0.00%,3,0.93%,121,37.35%,0,0.00%,2,0.62%,0,0.00%,0,0.00%,38,11.73%,0,0.00%,0,0.00%,9,2.78%,80,24.69%,0,0.00%,0,0.00%,0,0.00%,324,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7316,,,,Pct 7316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,32,16.00%,,0,0.00%,8,4.00%,,0,0.00%,0,0.00%,2,1.00%,83,41.50%,0,0.00%,3,1.50%,0,0.00%,0,0.00%,17,8.50%,0,0.00%,0,0.00%,9,4.50%,46,23.00%,0,0.00%,0,0.00%,0,0.00%,200,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,37,24.18%,,0,0.00%,1,0.65%,,0,0.00%,0,0.00%,0,0.00%,59,38.56%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,6.54%,0,0.00%,0,0.00%,0,0.00%,45,29.41%,1,0.65%,0,0.00%,0,0.00%,153,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,69,19.55%,,0,0.00%,9,2.55%,,0,0.00%,0,0.00%,2,0.57%,142,40.23%,0,0.00%,3,0.85%,0,0.00%,0,0.00%,27,7.65%,0,0.00%,0,0.00%,9,2.55%,91,25.78%,1,0.28%,0,0.00%,0,0.00%,353,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7317,,,,Pct 7317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,52,19.70%,,0,0.00%,5,1.89%,,0,0.00%,0,0.00%,8,3.03%,57,21.59%,0,0.00%,0,0.00%,0,0.00%,1,0.38%,54,20.45%,0,0.00%,0,0.00%,18,6.82%,69,26.14%,0,0.00%,0,0.00%,0,0.00%,264,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,26,16.77%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.65%,59,38.06%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,9.03%,0,0.00%,0,0.00%,2,1.29%,51,32.90%,2,1.29%,0,0.00%,0,0.00%,155,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,78,18.62%,,0,0.00%,5,1.19%,,0,0.00%,0,0.00%,9,2.15%,116,27.68%,0,0.00%,0,0.00%,0,0.00%,1,0.24%,68,16.23%,0,0.00%,0,0.00%,20,4.77%,120,28.64%,2,0.48%,0,0.00%,0,0.00%,419,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7318,,,,Pct 7318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,1,,Vote by Mail,0,0.00%,0,0.00%,32,15.38%,,2,0.96%,7,3.37%,,0,0.00%,0,0.00%,8,3.85%,61,29.33%,0,0.00%,1,0.48%,2,0.96%,0,0.00%,25,12.02%,0,0.00%,0,0.00%,13,6.25%,57,27.40%,0,0.00%,0,0.00%,0,0.00%,208,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
