COUNTY OF LOS ANGELES,PRESIDENTIAL PRIMARY ELECTION,03/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESIDENTIAL PREF. - DEM,Democratic, , , ,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JULIAN CASTRO,MICHAEL A ELLINGER,ELIZABETH WARREN,M WILLIAMSON,ANDREW YANG,R DE LA FUENTE III,JOHN K DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,M R BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R BIDEN,TULSI GABBARD,MARK S GREENSTEIN,
ALTADENA,0200008B,40,85,N, ,VBM PORTION,343,0,0,56,1,4,0,0,4,112,0,9,0,0,31,0,1,9,101,0,0, 
ALTADENA,0200008B,40,85,N,1308,TOTAL,816,10,3,134,3,5,0,1,7,268,0,11,0,0,63,0,1,11,275,0,0, 
ALTADENA,0200016A,41,87,N, ,POLLING PLACE,488,3,0,92,1,0,0,0,10,114,0,2,0,0,35,0,0,10,217,1,0, 
ALTADENA,0200016A,41,87,N, ,VBM PORTION,443,1,0,90,0,0,0,0,18,87,0,6,0,0,48,0,0,29,158,2,0, 
ALTADENA,0200016A,41,87,N,1101,TOTAL,931,4,0,182,1,0,0,0,28,201,0,8,0,0,83,0,0,39,375,3,0, 
ALTADENA,0200017A,42,85,N, ,POLLING PLACE,363,10,2,50,1,0,1,0,2,132,0,3,0,0,18,0,1,0,126,2,0, 
ALTADENA,0200017A,42,85,N, ,VBM PORTION,229,0,0,28,0,1,0,0,2,95,0,3,0,0,18,0,0,3,74,0,0, 
ALTADENA,0200017A,42,85,N,1110,TOTAL,592,10,2,78,1,1,1,0,4,227,0,6,0,0,36,0,1,3,200,2,0, 
ALTADENA,0200018A,43,85,N, ,POLLING PLACE,341,17,2,25,2,1,0,0,3,174,1,2,0,0,17,0,0,2,88,1,0, 
ALTADENA,0200018A,43,85,N, ,VBM PORTION,195,6,0,28,0,3,0,0,2,75,0,3,0,0,19,0,0,4,48,0,0, 
ALTADENA,0200018A,43,85,N,1113,TOTAL,536,23,2,53,2,4,0,0,5,249,1,5,0,0,36,0,0,6,136,1,0, 
ALTADENA,0200025B,44,85,N, ,POLLING PLACE,476,5,1,85,0,0,0,1,2,146,1,5,0,0,31,0,1,6,181,5,0, 
ALTADENA,0200025B,44,85,N, ,VBM PORTION,444,0,0,91,2,0,0,0,17,108,0,13,0,0,53,0,1,22,126,1,0, 
ALTADENA,0200025B,44,85,N,1290,TOTAL,920,5,1,176,2,0,0,1,19,254,1,18,0,0,84,0,2,28,307,6,0, 
