,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMOCRATIC  - PRESIDENTIAL PREFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Party Registration,Ballots Cast,Turnout (%),JULIÁN CASTRO,MICHAEL A. ELLINGER,ELIZABETH WARREN,MARIANNE WILLIAMSON,ANDREW YANG,"ROQUE ""ROCKY"" DE LA FUENTE III",JOHN K. DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,MICHAEL R. BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R. BIDEN,TULSI GABBARD,MARK STEWART GREENSTEIN,TOTAL VOTES,"QUALIFIED WRITE-INS:
NAKIA L. ANTHONY",DAPHNE DENISE BRADFORD,WILLIE FELIX CARTER,"MICHAEL DENAME 
",JEFFREY H. DROBMAN,ROBERT JORDAN,HEATHER MARIE STAGG
Canvass,0,1,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Total,0,1,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1045  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,26,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,26,13,50%,0,0,2,0,0,0,0,0,5,0,0,0,0,3,0,0,1,2,0,0,13,0,0,0,0,0,0,0
Canvass,26,14,53.8461538461539%,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,2,6,1,0,14,0,0,0,0,0,0,0
Total,26,27,103.846153846154%,0,0,5,0,0,0,0,0,6,0,0,0,0,4,0,0,3,8,1,0,27,0,0,0,0,0,0,0
1046  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,85,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,85,30,35.2941176470588%,0,0,3,0,0,0,0,2,10,0,0,0,0,10,0,0,2,2,0,0,29,0,0,0,0,0,0,0
Canvass,85,45,52.9411764705882%,0,0,9,0,0,0,0,0,15,0,0,0,0,2,0,0,2,15,2,0,45,0,0,0,0,0,0,0
