Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,1 Presidential Preference LIB,,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,JO JORGENSEN,DAN BEHRMAN,,ERIK CHASE GERHARDT,Write In,Sorinne  Ardeleanu,Nicholas D'Artagnan Dumas,Geby Eva Espinosa,James Orlando Ogle,,
20280,Polling Place,19,5,26.32 %,,,,,,,1,,,,,,
20280,Total,19,13,68.42 %,,,,,,,2,,,,,,
20300,Vote by Mail,14,5,35.71 %,,,,,,,3,,,,,,
20300,Polling Place,14,2,14.29 %,,,,,,,,,,,,,
20300,Total,14,7,50.00 %,,,,,,,3,,,,,,
20320,Vote by Mail,13,3,23.08 %,,,,,,,1,,,,,,
20320,Polling Place,13,0,0.00 %,,,,,,,,,,,,,
20320,Total,13,3,23.08 %,,,,,,,1,,,,,,
20330,Vote by Mail,23,12,52.17 %,,,,,,,2,,,,,,
20330,Polling Place,23,2,8.70 %,,,,,,,,,,,,,
20330,Total,23,14,60.87 %,,,,,,,2,,,,,,
20341,Vote by Mail,8,3,37.50 %,,,,,,,1,,,,,,
20341,Polling Place,8,0,0.00 %,,,,,,,,,,,,,
20341,Total,8,3,37.50 %,,,,,,,1,,,,,,
20351,Vote by Mail,9,2,22.22 %,,,,,,,,,,,,,
20351,Polling Place,9,1,11.11 %,,,,,,,,,,,,,
20351,Total,9,3,33.33 %,,,,,,,,,,,,,
20354,Vote by Mail,11,9,81.82 %,,,,,,,3,,,,,,
20354,Polling Place,11,3,27.27 %,,,,,,,1,,,,,,
20354,Total,11,12,109.09 %,,,,,,,4,,,,,,
20402,Vote by Mail,10,3,30.00 %,,,,,,,,,,,,,
20402,Polling Place,10,2,20.00 %,,,,,,,,,,,,,
20402,Total,10,5,50.00 %,,,,,,,,,,,,,
20520,Vote by Mail,17,7,41.18 %,,,,,,,,1,,,,,
20520,Polling Place,17,5,29.41 %,,,,,,,3,,,,,,
20520,Total,17,12,70.59 %,,,,,,,3,1,,,,,
20551,Vote by Mail,12,6,50.00 %,,,1,,,,3,,,,,,
20551,Polling Place,12,0,0.00 %,,,,,,,,,,,,,
20551,Total,12,6,50.00 %,,,1,,,,3,,,,,,
20591,Vote by Mail,0,0,,,,,,,,,,,,,,
20591,Polling Place,0,0,,,,,,,,,,,,,,
