Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,1 Presidential Preference AIP,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,PHIL COLLINS,"ROQUE ""ROCKY"" DE LA FUENTE",,CHARLES KRAUT,J.R. MYERS,DON BLANKENSHIP,Write In,,
10020,Vote by Mail,23,8,34.78 %,,,,2,,1,,,1,,
10020,Polling Place,23,3,13.04 %,,,,,,,,1,,,
10020,Total,23,11,47.83 %,,,,2,,1,,1,1,,
10060,Vote by Mail,39,12,30.77 %,,,1,,,1,1,,6,,
10060,Polling Place,39,3,7.69 %,,,1,,,,,,1,,
10060,Total,39,15,38.46 %,,,2,,,1,1,,7,,
10080,Vote by Mail,29,11,37.93 %,,,,2,,,,,4,,
10080,Polling Place,29,3,10.34 %,,,1,,,,,,,,
10080,Total,29,14,48.28 %,,,1,2,,,,,4,,
10090,Vote by Mail,30,11,36.67 %,,,,,,1,,,8,,
10090,Polling Place,30,2,6.67 %,,,,,,,,,2,,
10090,Total,30,13,43.33 %,,,,,,1,,,10,,
10110,Vote by Mail,30,12,40.00 %,,,,,,,,1,9,,
10110,Polling Place,30,6,20.00 %,,,,1,,,1,,2,,
10110,Total,30,18,60.00 %,,,,1,,,1,1,11,,
10120,Vote by Mail,27,9,33.33 %,,,,,,,,3,3,,
10120,Polling Place,27,1,3.70 %,,,,,,,,,,,
10120,Total,27,10,37.04 %,,,,,,,,3,3,,
10130,Vote by Mail,29,12,41.38 %,,,2,,,,1,,5,,
10130,Polling Place,29,1,3.45 %,,,,,,,,,,,
10130,Total,29,13,44.83 %,,,2,,,,1,,5,,
10141,Vote by Mail,10,7,70.00 %,,,,,,,1,,2,,
10141,Polling Place,10,0,0.00 %,,,,,,,,,,,
10141,Total,10,7,70.00 %,,,,,,,1,,2,,
10143,Vote by Mail,2,1,50.00 %,,,,,,,,,1,,
10143,Polling Place,2,0,0.00 %,,,,,,,,,,,
10143,Total,2,1,50.00 %,,,,,,,,,1,,
10144,Vote by Mail,29,10,34.48 %,,,,,,2,,,3,,
10144,Polling Place,29,4,13.79 %,,,,1,,,,,3,,
10144,Total,29,14,48.28 %,,,,1,,2,,,6,,
10151,Vote by Mail,1,0,0.00 %,,,,,,,,,,,
10151,Polling Place,1,0,0.00 %,,,,,,,,,,,
10151,Total,1,0,0.00 %,,,,,,,,,,,
10161,Vote by Mail,19,6,31.58 %,,,,,,,,,3,,
10161,Polling Place,19,2,10.53 %,,,,,,,,,2,,
10161,Total,19,8,42.11 %,,,,,,,,,5,,
10164,Vote by Mail,3,1,33.33 %,,,,,,,,,1,,
10164,Polling Place,3,0,0.00 %,,,,,,,,,,,
10164,Total,3,1,33.33 %,,,,,,,,,1,,
10170,Vote by Mail,20,11,55.00 %,,,1,1,,,,,3,,
10170,Polling Place,20,0,0.00 %,,,,,,,,,,,
10170,Total,20,11,55.00 %,,,1,1,,,,,3,,
10190,Vote by Mail,33,14,42.42 %,,,,1,,,,,9,,
10190,Polling Place,33,0,0.00 %,,,,,,,,,,,
10190,Total,33,14,42.42 %,,,,1,,,,,9,,
10201,Vote by Mail,22,5,22.73 %,,,,,,,,1,2,,
10201,Polling Place,22,0,0.00 %,,,,,,,,,,,
10201,Total,22,5,22.73 %,,,,,,,,1,2,,
