Santa Cruz,,,,,,,,,Precinct Canvass,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,1 Presidential Preference PAF,,,,,,,,,,
,,,,,,,1,1,,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,HOWIE HAWKINS,GLORIA LA RIVA,,Write In,,
43731,Vote by Mail,2,0,0.00 %,,,,,,,,
43731,Polling Place,2,0,0.00 %,,,,,,,,
43731,Total,2,0,0.00 %,,,,,,,,
43741,Vote by Mail,2,0,0.00 %,,,,,,,,
43741,Polling Place,2,0,0.00 %,,,,,,,,
43741,Total,2,0,0.00 %,,,,,,,,
50011,Vote by Mail,0,0,,,,,,,,,
50011,Polling Place,0,0,,,,,,,,,
50011,Total,0,0,,,,,,,,,
50021,Vote by Mail,3,0,0.00 %,,,,,,,,
50021,Polling Place,3,0,0.00 %,,,,,,,,
50021,Total,3,0,0.00 %,,,,,,,,
50040,Vote by Mail,5,0,0.00 %,,,,,,,,
50040,Polling Place,5,0,0.00 %,,,,,,,,
50040,Total,5,0,0.00 %,,,,,,,,
50061,Vote by Mail,4,1,25.00 %,,,,,,1,,
50061,Polling Place,4,0,0.00 %,,,,,,,,
50061,Total,4,1,25.00 %,,,,,,1,,
50090,Vote by Mail,0,0,,,,,,,,,
50090,Polling Place,0,0,,,,,,,,,
50090,Total,0,0,,,,,,,,,
50091,Vote by Mail,2,2,100.00 %,,,1,,,,,
50091,Polling Place,2,0,0.00 %,,,,,,,,
50091,Total,2,2,100.00 %,,,1,,,,,
50092,Vote by Mail,5,0,0.00 %,,,,,,,,
50092,Polling Place,5,0,0.00 %,,,,,,,,
50092,Total,5,0,0.00 %,,,,,,,,
50093,Vote by Mail,0,0,,,,,,,,,
50093,Polling Place,0,0,,,,,,,,,
50093,Total,0,0,,,,,,,,,
50102,Vote by Mail,9,1,11.11 %,,,,1,,,,
50102,Polling Place,9,2,22.22 %,,,,,,2,,
50102,Total,9,3,33.33 %,,,,1,,2,,
50111,Vote by Mail,4,2,50.00 %,,,,,,2,,
50111,Polling Place,4,0,0.00 %,,,,,,,,
50111,Total,4,2,50.00 %,,,,,,2,,
50113,Vote by Mail,2,0,0.00 %,,,,,,,,
50113,Polling Place,2,0,0.00 %,,,,,,,,
50113,Total,2,0,0.00 %,,,,,,,,
50114,Vote by Mail,0,0,,,,,,,,,
50114,Polling Place,0,0,,,,,,,,,
50114,Total,0,0,,,,,,,,,
50115,Vote by Mail,0,0,,,,,,,,,
50115,Polling Place,0,0,,,,,,,,,
50115,Total,0,0,,,,,,,,,
50121,Vote by Mail,4,1,25.00 %,,,,1,,,,
50121,Polling Place,4,0,0.00 %,,,,,,,,
50121,Total,4,1,25.00 %,,,,1,,,,
50141,Vote by Mail,2,1,50.00 %,,,,,,1,,
50141,Polling Place,2,0,0.00 %,,,,,,,,
50141,Total,2,1,50.00 %,,,,,,1,,
50143,Vote by Mail,8,3,37.50 %,,,,,,2,,
50143,Polling Place,8,2,25.00 %,,,1,1,,,,
50143,Total,8,5,62.50 %,,,1,1,,2,,
50147,Vote by Mail,2,0,0.00 %,,,,,,,,
50147,Polling Place,2,0,0.00 %,,,,,,,,
50147,Total,2,0,0.00 %,,,,,,,,
50154,Vote by Mail,0,0,,,,,,,,,
50154,Polling Place,0,0,,,,,,,,,
50154,Total,0,0,,,,,,,,,
50157,Vote by Mail,2,1,50.00 %,,,1,,,,,
50157,Polling Place,2,0,0.00 %,,,,,,,,
50157,Total,2,1,50.00 %,,,1,,,,,
50161,Vote by Mail,7,2,28.57 %,,,,1,,,,
50161,Polling Place,7,0,0.00 %,,,,,,,,
50161,Total,7,2,28.57 %,,,,1,,,,
50172,Vote by Mail,0,0,,,,,,,,,
50172,Polling Place,0,0,,,,,,,,,
50172,Total,0,0,,,,,,,,,
50181,Vote by Mail,0,0,,,,,,,,,
50181,Polling Place,0,0,,,,,,,,,
50181,Total,0,0,,,,,,,,,
50183,Vote by Mail,0,0,,,,,,,,,
50183,Polling Place,0,0,,,,,,,,,
50183,Total,0,0,,,,,,,,,
50191,Vote by Mail,6,1,16.67 %,,,1,,,,,
50191,Polling Place,6,0,0.00 %,,,,,,,,
50191,Total,6,1,16.67 %,,,1,,,,,
50192,Vote by Mail,0,0,,,,,,,,,
50192,Polling Place,0,0,,,,,,,,,
