COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
LOS ANGELES CITY GEN-MAYOR, , , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAREN RUTH BASS,RICK J CARUSO,
LOS ANGELES,9000267A,1159,210,N, ,VBM PORTION,2304,922,1349, 
LOS ANGELES,9000267A,1159,210,N,3889,TOTAL,2692,1021,1637, 
LOS ANGELES,9000269B,1160,458,N, ,POLLING PLACE,364,157,200, 
LOS ANGELES,9000269B,1160,458,N, ,VBM PORTION,1601,930,640, 
LOS ANGELES,9000269B,1160,458,N,3195,TOTAL,1965,1087,840, 
LOS ANGELES,9000274A,1161,298,N, ,POLLING PLACE,193,77,114, 
LOS ANGELES,9000274A,1161,298,N, ,VBM PORTION,625,294,318, 
LOS ANGELES,9000274A,1161,298,N,2575,TOTAL,818,371,432, 
LOS ANGELES,9000277A,1162,298,N, ,POLLING PLACE,127,64,58, 
LOS ANGELES,9000277A,1162,298,N, ,VBM PORTION,325,176,144, 
LOS ANGELES,9000277A,1162,298,N,1383,TOTAL,452,240,202, 
LOS ANGELES,9000283A,1163,488,N, ,POLLING PLACE,159,126,32, 
LOS ANGELES,9000283A,1163,488,N, ,VBM PORTION,742,583,148, 
LOS ANGELES,9000283A,1163,488,N,1952,TOTAL,901,709,180, 
LOS ANGELES,9000288A,1164,488,N, ,POLLING PLACE,100,72,27, 
LOS ANGELES,9000288A,1164,488,N, ,VBM PORTION,504,407,87, 
LOS ANGELES,9000288A,1164,488,N,1417,TOTAL,604,479,114, 
LOS ANGELES,9000289A,1165,839,N, ,POLLING PLACE,111,69,39, 
LOS ANGELES,9000289A,1165,839,N, ,VBM PORTION,275,160,107, 
LOS ANGELES,9000289A,1165,839,N,1994,TOTAL,386,229,146, 
LOS ANGELES,9000290A,1166,839,N, ,POLLING PLACE,127,69,58, 
LOS ANGELES,9000290A,1166,839,N, ,VBM PORTION,355,231,109, 
LOS ANGELES,9000290A,1166,839,N,2215,TOTAL,482,300,167, 
LOS ANGELES,9000293A,1167,839,N, ,POLLING PLACE,135,91,42, 
LOS ANGELES,9000293A,1167,839,N, ,VBM PORTION,388,244,135, 
LOS ANGELES,9000293A,1167,839,N,2303,TOTAL,523,335,177, 
LOS ANGELES,9000294D,7580,839,N, ,POLLING PLACE,13,11,2, 
LOS ANGELES,9000294D,7580,839,N, ,VBM PORTION,50,38,11, 
LOS ANGELES,9000294D,7580,839,N,236,TOTAL,63,49,13, 
LOS ANGELES,9000295B,1168,839,N, ,POLLING PLACE,73,46,24, 
LOS ANGELES,9000295B,1168,839,N, ,VBM PORTION,250,158,86, 
LOS ANGELES,9000295B,1168,839,N,1839,TOTAL,323,204,110, 
LOS ANGELES,9000296A,1169,871,N, ,POLLING PLACE,174,130,43, 
LOS ANGELES,9000296A,1169,871,N, ,VBM PORTION,421,301,109, 
LOS ANGELES,9000296A,1169,871,N,2013,TOTAL,595,431,152, 
LOS ANGELES,9000301A,1170,9,N, ,POLLING PLACE,179,60,114, 
LOS ANGELES,9000301A,1170,9,N, ,VBM PORTION,671,311,338, 
LOS ANGELES,9000301A,1170,9,N,2864,TOTAL,850,371,452, 
LOS ANGELES,9000303A,1171,291,N, ,POLLING PLACE,261,158,99, 
LOS ANGELES,9000303A,1171,291,N, ,VBM PORTION,1476,894,538, 
LOS ANGELES,9000303A,1171,291,N,3157,TOTAL,1737,1052,637, 
LOS ANGELES,9000308A,7581,9,N, ,POLLING PLACE,108,37,67, 
LOS ANGELES,9000308A,7581,9,N, ,VBM PORTION,403,179,206, 
LOS ANGELES,9000308A,7581,9,N,1231,TOTAL,511,216,273, 
LOS ANGELES,9000312A,1172,9,N, ,POLLING PLACE,218,65,149, 
LOS ANGELES,9000312A,1172,9,N, ,VBM PORTION,753,286,453, 
LOS ANGELES,9000312A,1172,9,N,2197,TOTAL,971,351,602, 
LOS ANGELES,9000313B,1173,9,N, ,POLLING PLACE,124,64,57, 
LOS ANGELES,9000313B,1173,9,N, ,VBM PORTION,449,257,183, 
LOS ANGELES,9000313B,1173,9,N,2247,TOTAL,573,321,240, 
LOS ANGELES,9000315A,1174,771,N, ,POLLING PLACE,306,73,230, 
LOS ANGELES,9000315A,1174,771,N, ,VBM PORTION,1503,597,862, 
LOS ANGELES,9000315A,1174,771,N,3215,TOTAL,1809,670,1092, 
LOS ANGELES,9000324A,1175,9,N, ,POLLING PLACE,101,42,53, 
LOS ANGELES,9000324A,1175,9,N, ,VBM PORTION,238,138,99, 
LOS ANGELES,9000324A,1175,9,N,1404,TOTAL,339,180,152, 
LOS ANGELES,9000328B,1176,9,N, ,POLLING PLACE,145,54,88, 
LOS ANGELES,9000328B,1176,9,N, ,VBM PORTION,408,156,244, 
LOS ANGELES,9000328B,1176,9,N,2328,TOTAL,553,210,332, 
LOS ANGELES,9000331A,1177,9,N, ,POLLING PLACE,180,56,121, 
LOS ANGELES,9000331A,1177,9,N, ,VBM PORTION,663,269,372, 
LOS ANGELES,9000331A,1177,9,N,2320,TOTAL,843,325,493, 
LOS ANGELES,9000333A,1178,379,N, ,POLLING PLACE,245,72,169, 
LOS ANGELES,9000333A,1178,379,N, ,VBM PORTION,844,326,490, 
LOS ANGELES,9000333A,1178,379,N,2248,TOTAL,1089,398,659, 
LOS ANGELES,9000334A,7583,379,N, ,POLLING PLACE,179,54,119, 
LOS ANGELES,9000334A,7583,379,N, ,VBM PORTION,581,221,339, 
LOS ANGELES,9000334A,7583,379,N,1646,TOTAL,760,275,458, 
LOS ANGELES,9000335A,1179,9,N, ,POLLING PLACE,133,51,78, 
LOS ANGELES,9000335A,1179,9,N, ,VBM PORTION,457,206,240, 
LOS ANGELES,9000335A,1179,9,N,2137,TOTAL,590,257,318, 
LOS ANGELES,9000336B,1180,291,N, ,POLLING PLACE,186,102,81, 
LOS ANGELES,9000336B,1180,291,N, ,VBM PORTION,744,466,258, 
LOS ANGELES,9000336B,1180,291,N,2627,TOTAL,930,568,339, 
LOS ANGELES,9000339A,1181,777,N, ,POLLING PLACE,370,167,191, 
LOS ANGELES,9000339A,1181,777,N, ,VBM PORTION,1530,821,649, 
LOS ANGELES,9000339A,1181,777,N,4783,TOTAL,1900,988,840, 
LOS ANGELES,9000342B,1182,379,N, ,POLLING PLACE,187,59,124, 
LOS ANGELES,9000342B,1182,379,N, ,VBM PORTION,751,339,398, 
LOS ANGELES,9000342B,1182,379,N,2014,TOTAL,938,398,522, 
LOS ANGELES,9000344A,1183,9,N, ,POLLING PLACE,236,74,151, 
LOS ANGELES,9000344A,1183,9,N, ,VBM PORTION,729,272,440, 
