,ID,District,AREA,Code,percent
1087,39,44,100.18,9002796A,0.4463610464459695
1088,38,43,52.63,9006216A,1.0000000000000002
1089,38,43,52.63,9002398A,0.9999999999999998
1090,38,43,52.63,9000324A,0.9999999999999994
1091,38,43,52.63,9002824A,0.9999999999999997
1092,38,43,52.63,9000344A,0.9999999999999997
1093,38,43,52.63,9000321A,0.9999999999999996
1094,38,43,52.63,9000998B,0.999999999999999
1095,38,43,52.63,9006214A,0.9999999999999987
1096,38,43,52.63,9000134A,0.9999999999999993
1097,38,43,52.63,9000467C,1.0
1098,38,43,52.63,9005635A,0.9999631690973321
1100,38,43,52.63,9007744A,1.0000000000000004
1101,38,43,52.63,9000301A,1.0000000000000007
1102,38,43,52.63,9000068A,0.1529829573802302
1103,39,44,100.18,9000068A,0.8470170426197751
1104,38,43,52.63,9005669A,0.9999999999999997
1105,38,43,52.63,9000113A,0.9999999999999999
1106,38,43,52.63,9000069B,1.0000000000000002
1107,38,43,52.63,9000232A,0.7957375446925442
1108,39,44,100.18,9000232A,0.20426245530745413
1109,38,43,52.63,9002903B,1.0
1110,38,43,52.63,9002897A,1.0000000000000002
1111,38,43,52.63,9000167A,1.0
1112,38,43,52.63,9000314A,0.9999999999999999
1113,38,43,52.63,9000574A,1.0
1114,38,43,52.63,9000300A,0.9999999999999999
1115,38,43,52.63,9000144A,0.9999999999999999
1116,38,43,52.63,9000327A,0.9999999999999999
1117,38,43,52.63,9007735A,0.9999999999999998
1118,38,43,52.63,9000331A,1.0000000000000004
1119,38,43,52.63,9006209A,1.0000000000000002
1120,38,43,52.63,9000390A,1.0000000000000002
1121,38,43,52.63,9001077A,0.9999999999999994
1122,38,43,52.63,9005666A,1.0
1123,38,43,52.63,9002888A,1.0000000000000004
1124,38,43,52.63,9007737A,0.9999999999999997
1125,38,43,52.63,9004225B,1.0000000000000002
1126,38,43,52.63,9000009A,0.9999999999999999
1127,38,43,52.63,9008147A,0.9999999999999996
1128,38,43,52.63,9002730A,1.0000000000000009
1129,38,43,52.63,9000396A,1.0000000000000004
1130,38,43,52.63,9000391A,1.0000000000000004
1131,38,43,52.63,9000836A,0.9971604115459429
1134,39,44,100.18,9000416A,0.9999867460430951
1136,39,44,100.18,9005667A,0.9867164525815681
1138,39,44,100.18,9007323A,0.9999838810137323
1140,39,44,100.18,9005656A,0.9999532310404248
1141,38,43,52.63,6050012A,1.0000000000000002
1142,38,43,52.63,6050013A,1.0
1143,38,43,52.63,6050010A,1.0
1144,38,43,52.63,6050001A,0.9999999999999998
1145,38,43,52.63,6050005C,1.0000000000000004
1146,38,43,52.63,6050007A,0.9999999999999997
1147,38,43,52.63,6050002A,1.0
1148,38,43,52.63,9000556A,0.7136602878042935
1149,39,44,100.18,9000556A,0.2863397121957385
1150,38,43,52.63,9000531A,0.9992755957681034
1152,38,43,52.63,9000520B,0.998085960772467
1154,38,43,52.63,9000498A,1.0
1155,38,43,52.63,9003998A,0.9984849351039955
1157,38,43,52.63,9000489A,1.0000000000000002
1158,38,43,52.63,9000116A,1.0000000000000002
1160,39,44,100.18,9000607A,0.9282124173651133
1161,38,43,52.63,9002220A,0.9999999999999997
1162,38,43,52.63,9001917A,0.5604686445240135
1163,39,44,100.18,9001917A,0.4395313554759066
1164,38,43,52.63,9000592A,0.25246929578722976
1165,39,44,100.18,9000592A,0.747530704212847
1166,38,43,52.63,9000119A,0.22791262753052816
1167,39,44,100.18,9000119A,0.7720873724694685
1169,39,44,100.18,9000688A,0.9977007586242191
1170,38,43,52.63,9000509A,0.9999999999999999
1172,39,44,100.18,9000543A,0.999014970275872
1173,38,43,52.63,9000516A,1.0000000000000004
1174,38,43,52.63,9000500B,0.9999999999999984
1175,38,43,52.63,9000461A,1.0000000000000004
1176,38,43,52.63,9000523A,1.0
1177,38,43,52.63,9000519B,0.9999999999999997
1178,39,44,100.18,9000046A,0.9999999999999996
1180,47,51,65.54,9001184A,0.9999539853959752
1182,47,51,65.54,9001824A,0.9103357257179778
1185,48,52,44.24,9000760A,0.9995547027403546
1187,48,52,44.24,9006335A,0.9984234944949367
1188,39,44,100.18,2550017A,1.000000000000002
1189,39,44,100.18,2550018A,0.9999999999999996
1190,39,44,100.18,2550007A,0.9999999999999997
1191,39,44,100.18,2550006A,1.0
1192,39,44,100.18,2550011A,0.9999999999999994
1193,39,44,100.18,3200007A,1.0000000000000004
1194,39,44,100.18,3200019A,0.9999999999999999
1195,39,44,100.18,4610022A,1.0000000000000002
1196,39,44,100.18,9000214A,0.9999999999999998
1198,47,51,65.54,7300001A,0.9992415437422887
1199,39,44,100.18,9001002B,0.9999999999999993
1200,39,44,100.18,9000990A,0.9999999999999993
1201,39,44,100.18,9000988A,1.0000000000000002
1202,39,44,100.18,9001187A,0.8160422304742504
1203,47,51,65.54,9001187A,0.18395776952575268
1204,39,44,100.18,9001167A,0.9998489923470252
1206,39,44,100.18,9000422A,0.9999999999999996
1207,39,44,100.18,9005155B,0.9999999999999999
1208,39,44,100.18,9000410A,0.9997220055415578
1210,39,44,100.18,9001176A,0.999007892800035
1212,39,44,100.18,9000348C,0.9999999999999998
1213,39,44,100.18,9001928B,1.0000000000000004
1214,39,44,100.18,9001173A,0.9445410308687088
1216,39,44,100.18,9005142A,1.0000000000000002
1217,39,44,100.18,9001052A,0.9999999999999988
1218,39,44,100.18,9003161A,1.0000000000000002
1219,39,44,100.18,9005159A,1.0
1220,39,44,100.18,9001934A,1.0
1222,47,51,65.54,9001180A,0.9987136788638129
1223,39,44,100.18,9000732A,0.9999999999999997
1224,39,44,100.18,2550021A,1.0000000000000004
1225,39,44,100.18,2550010A,0.9999999999999999
1228,48,52,44.24,9000369A,0.9824041317292305
1229,39,44,100.18,9005147A,1.0000000000000002
1230,39,44,100.18,9001924B,1.0000000000000002
1231,39,44,100.18,9001015D,0.9827420440459846
1233,39,44,100.18,9001083A,1.0000000000000002
1234,39,44,100.18,9000402A,0.9999999999999997
1235,39,44,100.18,9000268A,0.9999999999999998
1236,39,44,100.18,9005549A,1.0000000000000013
1237,39,44,100.18,9000745B,0.999999999999999
1238,39,44,100.18,9001087A,0.999999999999999
1239,39,44,100.18,9003228A,0.9893044733106977
1241,39,44,100.18,9001931A,1.0
1242,39,44,100.18,9001126A,1.0000000000000004
1243,39,44,100.18,9001016A,0.9808598857144282
1245,39,44,100.18,9001092A,0.9999996275630204
1247,39,44,100.18,9001122A,0.9999999999999993
1248,39,44,100.18,9001109A,1.0000000000000002
1249,39,44,100.18,9000841A,0.10078789683294138
1250,47,51,65.54,9000841A,0.8992121031671172
1251,39,44,100.18,9001152A,0.9999999999999996
1252,39,44,100.18,9001113A,1.0000000000000004
1253,39,44,100.18,0950155A,1.0
1254,39,44,100.18,0950144A,0.9999999999999994
1255,39,44,100.18,0950161A,1.0
1256,39,44,100.18,0950013A,0.9999999999999997
1257,39,44,100.18,0950163A,0.9999999999999999
1258,39,44,100.18,0950032A,0.9992445818202352
1260,39,44,100.18,0950001A,1.0000000000000004
1261,39,44,100.18,0950146A,0.9999999999999994
1262,39,44,100.18,0950002A,1.0
1263,39,44,100.18,0950135A,1.0000000000000002
1264,39,44,100.18,0950005B,1.0
1265,39,44,100.18,0950157A,0.9999999999999994
1266,39,44,100.18,0950139C,1.0000000000000009
1267,39,44,100.18,0950031A,0.9996773603379241
1269,39,44,100.18,0950019A,0.9999999999999997
1270,39,44,100.18,0950160A,0.9998091532750292
1272,39,44,100.18,0950158A,1.0
1273,39,44,100.18,0950132A,1.0000000000000002
1274,39,44,100.18,0950009A,1.0
1275,39,44,100.18,0950008A,1.0
1276,39,44,100.18,0950134A,1.0000000000000002
1278,41,46,77.82,9001073A,0.9946334195828854
1279,39,44,100.18,9005187A,0.9978814066835624
1281,39,44,100.18,9005151B,1.0
1282,39,44,100.18,9002527A,1.0000000000000002
1284,47,51,65.54,9001213A,0.994435220785583
1286,47,51,65.54,9000684A,0.9999976681435746
1287,39,44,100.18,9000511A,1.0
1289,41,46,77.82,9002804A,0.9999324400187916
1290,39,44,100.18,0950193A,1.0
1291,39,44,100.18,0950191A,0.9999999999999997
1292,39,44,100.18,0950197A,0.9999999999999997
1293,39,44,100.18,0950178A,0.9999871980927085
1295,39,44,100.18,2550132A,0.9990665486129879
1298,48,52,44.24,2550123A,0.9993910434967793
1300,48,52,44.24,2550135A,0.9971770886854266
1302,48,52,44.24,2550129A,0.9986518460416812
1303,39,44,100.18,2550143B,0.9289138970114956
1305,39,44,100.18,9001158A,0.9995633884650684
1307,39,44,100.18,9000428A,0.8040354317344002
1308,47,51,65.54,9000428A,0.1959645682655968
1309,39,44,100.18,9000251A,0.9999999999999997
1310,39,44,100.18,9007311A,1.0000000000000009
1311,39,44,100.18,9000656A,1.0000000000000009
1312,39,44,100.18,9000021A,0.9999999999999999
1313,39,44,100.18,9000632A,0.9999999999999998
1314,39,44,100.18,9000654A,0.999999999999998
1315,39,44,100.18,9000655A,1.0000000000000002
1316,39,44,100.18,9003374A,0.9999999999999993
1317,39,44,100.18,9000645B,0.9999999999999999
1318,39,44,100.18,9000637A,1.0000000000000002
1319,39,44,100.18,9000641D,1.0000000000000002
1320,39,44,100.18,9007313A,1.0000000000000002
1322,41,46,77.82,9001090A,0.9990325899997702
1323,39,44,100.18,2550086A,0.999996041156574
1325,39,44,100.18,2550080B,0.9957478754641111
1327,39,44,100.18,9002222A,1.0000000000000007
1328,39,44,100.18,9000718A,1.0000000000000007
1329,39,44,100.18,9000125B,1.0000000000000007
1330,39,44,100.18,9002221A,0.9999999999999998
1331,39,44,100.18,9000483A,1.0000000000000002
1332,39,44,100.18,9000165A,1.0000000000000002
1333,39,44,100.18,9000616A,1.0
1334,39,44,100.18,9000252A,0.9999999999999998
1335,39,44,100.18,9000619A,1.0
1336,39,44,100.18,2550183B,0.2053884454765688
1337,48,52,44.24,2550183B,0.7946115545234195
1338,39,44,100.18,2550090A,0.8185573396938493
1339,48,52,44.24,2550090A,0.18144266030618106
