President of the United States Presidential Preference - DEMOCRATIC - Vote for ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Party Member Registration,,,Party Member Ballots Cast,,,,,,Turnout (%),,,Declined to State Voter Ballots Cast,,,Julián Castro,,,,,Michael A. Ellinger,,,,,Elizabeth Warren,,,Marianne Williamson,,,Andrew Yang,,,,"Roque ""Rocky"" De La Fuente III",,,,John K. Delaney,,,
117029,,,,,,,36,,,,,,,,,,249,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117036,,,,,,,51,,,,,,,,,,249,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117040,,,,,,,57,,,,,,,,,,253,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117043,,,,,,,65,,,,,,,,,,251,,,,10,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
117045,,,,,,,36,,,,,,,,,,183,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117052,,,,,,,30,,,,,,,,,,171,,,,9,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Party Member Registration,,,Party Member Ballots Cast,,,,,,Turnout (%),,,Declined to State Voter Ballots Cast,,,Julián Castro,,,,,Michael A. Ellinger,,,,,Elizabeth Warren,,,Marianne Williamson,,,Andrew Yang,,,,"Roque ""Rocky"" De La Fuente III",,,,John K. Delaney,,,
117059,,,,,,,972,,,632,,,,,,65.0,,,43,,,0,,,,,0,,,,,49,,,1,,,4,,,,5,,,,0,,,
117068,,,,,,,"1,168",,,615,,,,,,52.7,,,34,,,0,,,,,0,,,,,51,,,0,,,3,,,,1,,,,0,,,
117069,,,,,,,"1,334",,,815,,,,,,61.1,,,104,,,1,,,,,0,,,,,63,,,2,,,7,,,,2,,,,0,,,
117073,,,,,,,767,,,300,,,,,,39.1,,,7,,,3,,,,,0,,,,,9,,,1,,,5,,,,0,,,,0,,,
117074,,,,,,,"1,351",,,909,,,,,,67.3,,,72,,,0,,,,,0,,,,,85,,,0,,,4,,,,0,,,,0,,,
117076,,,,,,,"1,130",,,575,,,,,,50.9,,,43,,,0,,,,,0,,,,,39,,,1,,,6,,,,0,,,,0,,,
117079,,,,,,,"1,191",,,643,,,,,,54.0,,,35,,,0,,,,,0,,,,,53,,,1,,,7,,,,2,,,,0,,,
117083,,,,,,,"1,289",,,705,,,,,,54.7,,,71,,,0,,,,,0,,,,,49,,,1,,,10,,,,1,,,,1,,,
117084,,,,,,,"1,028",,,518,,,,,,50.4,,,39,,,1,,,,,0,,,,,44,,,0,,,7,,,,0,,,,0,,,
117091,,,,,,,"1,197",,,697,,,,,,58.2,,,38,,,0,,,,,0,,,,,60,,,0,,,5,,,,0,,,,1,,,
117095,,,,,,,"1,250",,,625,,,,,,50.0,,,62,,,4,,,,,0,,,,,45,,,0,,,7,,,,0,,,,0,,,
117101,,,,,,,"1,453",,,776,,,,,,53.4,,,91,,,3,,,,,0,,,,,72,,,0,,,3,,,,2,,,,3,,,
117104,,,,,,,978,,,422,,,,,,43.1,,,29,,,0,,,,,0,,,,,27,,,0,,,3,,,,0,,,,1,,,
117105,,,,,,,868,,,347,,,,,,40.0,,,25,,,1,,,,,0,,,,,24,,,0,,,1,,,,0,,,,0,,,
117112,,,,,,,"1,139",,,633,,,,,,55.6,,,53,,,3,,,,,0,,,,,51,,,0,,,5,,,,0,,,,4,,,
117136,,,,,,,"1,802",,,880,,,,,,48.8,,,69,,,0,,,,,0,,,,,77,,,1,,,2,,,,1,,,,1,,,
117169,,,,,,,301,,,105,,,,,,34.9,,,3,,,0,,,,,0,,,,,4,,,0,,,0,,,,0,,,,0,,,
