COUNTY OF LOS ANGELES,PRESIDENTIAL PRIMARY ELECTION,03/05/2024,,,,,,,,,,,,,,
LOS ANGELES PRIM-CNC 14,Non Partisan,N,cc9373,1,,,,,,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GENNY GUERRERO,TERESA Y HILLERY,YSABEL J JURADO,WENDY CARRILLO,EDUARDO VARGAS,MIGUEL SANTIAGO,KEVIN DE LEON,NADINE M DIAZ,
LOS ANGELES,9003886D,1566,239,N, ,POLLING PLACE,114,7,14,22,3,7,15,23,4, 
LOS ANGELES,9003886D,1566,239,N, ,VBM PORTION,370,12,33,62,32,19,87,87,6, 
LOS ANGELES,9003886D,1566,239,N,2432,TOTAL,484,19,47,84,35,26,102,110,10, 
LOS ANGELES,9003927A,6674,172,Y, ,POLLING PLACE,2,0,0,2,0,0,0,0,0, 
LOS ANGELES,9003927A,6674,172,Y, ,VBM PORTION,1,0,0,0,0,0,1,0,0, 
LOS ANGELES,9003927A,6674,172,Y,6,TOTAL,3,0,0,2,0,0,1,0,0, 
LOS ANGELES,9004120B,1570,195,N, ,POLLING PLACE,114,4,0,11,23,5,28,39,3, 
LOS ANGELES,9004120B,1570,195,N, ,VBM PORTION,433,10,11,78,46,11,127,136,4, 
LOS ANGELES,9004120B,1570,195,N,2783,TOTAL,547,14,11,89,69,16,155,175,7, 
LOS ANGELES,9004127A,6680,195,Y, ,POLLING PLACE,32,1,2,10,5,3,6,3,0, 
LOS ANGELES,9004127A,6680,195,Y, ,VBM PORTION,112,3,2,38,11,2,39,7,1, 
LOS ANGELES,9004127A,6680,195,Y,460,TOTAL,144,4,4,48,16,5,45,10,1, 
LOS ANGELES,9006320A,1630,174,N, ,POLLING PLACE,276,5,10,82,50,23,29,34,9, 
LOS ANGELES,9006320A,1630,174,N, ,VBM PORTION,1113,21,37,338,175,47,189,218,22, 
LOS ANGELES,9006320A,1630,174,N,3543,TOTAL,1389,26,47,420,225,70,218,252,31, 
LOS ANGELES,9006335B,1632,174,N, ,POLLING PLACE,240,10,8,58,34,11,43,49,6, 
LOS ANGELES,9006335B,1632,174,N, ,VBM PORTION,1254,21,37,349,181,25,276,240,31, 
LOS ANGELES,9006335B,1632,174,N,3093,TOTAL,1494,31,45,407,215,36,319,289,37, 
LOS ANGELES,9006337A,6703,174,Y, ,POLLING PLACE,125,6,6,38,20,2,16,18,6, 
LOS ANGELES,9006337A,6703,174,Y, ,VBM PORTION,653,19,18,182,115,21,126,136,9, 
LOS ANGELES,9006337A,6703,174,Y,1625,TOTAL,778,25,24,220,135,23,142,154,15, 
LOS ANGELES,9007016A,6706,195,Y, ,POLLING PLACE,67,2,6,20,6,1,11,12,0, 
LOS ANGELES,9007016A,6706,195,Y, ,VBM PORTION,519,16,33,117,40,25,130,96,16, 
LOS ANGELES,9007016A,6706,195,Y,1918,TOTAL,586,18,39,137,46,26,141,108,16, 
LOS ANGELES,9007018A,1654,238,N, ,POLLING PLACE,164,16,17,29,16,16,19,22,8, 
LOS ANGELES,9007018A,1654,238,N, ,VBM PORTION,352,18,31,63,42,13,68,70,16, 
LOS ANGELES,9007018A,1654,238,N,3426,TOTAL,516,34,48,92,58,29,87,92,24, 
LOS ANGELES,9007114A,1655,195,N, ,POLLING PLACE,83,4,5,12,15,5,19,15,3, 
LOS ANGELES,9007114A,1655,195,N, ,VBM PORTION,320,7,10,42,34,20,71,112,11, 
LOS ANGELES,9007114A,1655,195,N,2263,TOTAL,403,11,15,54,49,25,90,127,14, 
