Santa Cruz,,,,,,,,,Precinct Canvass,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1 US Representative 20th Congressional District,,,,,,,,,,,
,,,,,,,1,1,,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DEM - ADAM BOLAÑOS SCOW,DEM - JIMMY PANETTA,,REP - JEFF GORMAN,Write In,,
22050,Vote by Mail,1809,844,46.66 %,,,102,562,,150,3,,
22050,Polling Place,1809,317,17.52 %,,,55,218,,35,1,,
22050,Total,1809,1161,64.18 %,,,157,780,,185,4,,
23190,Vote by Mail,0,0,,,,,,,,,,
23190,Polling Place,0,0,,,,,,,,,,
23190,Total,0,0,,,,,,,,,,
23311,Vote by Mail,2057,719,34.95 %,,,101,528,,80,,,
23311,Polling Place,2057,172,8.36 %,,,17,127,,28,,,
23311,Total,2057,891,43.32 %,,,118,655,,108,,,
23312,Vote by Mail,1407,410,29.14 %,,,60,298,,45,,,
23312,Polling Place,1407,156,11.09 %,,,21,112,,18,1,,
23312,Total,1407,566,40.23 %,,,81,410,,63,1,,
23492,Vote by Mail,0,0,,,,,,,,,,
23492,Polling Place,0,0,,,,,,,,,,
23492,Total,0,0,,,,,,,,,,
23660,Vote by Mail,1,0,0.00 %,,,,,,,,,
23660,Polling Place,1,0,0.00 %,,,,,,,,,
23660,Total,1,0,0.00 %,,,,,,,,,
30080,Vote by Mail,466,221,47.42 %,,,43,135,,35,2,,
30080,Polling Place,466,67,14.38 %,,,15,44,,3,,,
30080,Total,466,288,61.80 %,,,58,179,,38,2,,
31010,Vote by Mail,1307,571,43.69 %,,,114,385,,56,1,,
31010,Polling Place,1307,318,24.33 %,,,69,204,,24,,,
31010,Total,1307,889,68.02 %,,,183,589,,80,1,,
31011,Vote by Mail,1459,684,46.88 %,,,209,389,,55,2,,
31011,Polling Place,1459,354,24.26 %,,,118,188,,20,2,,
31011,Total,1459,1038,71.14 %,,,327,577,,75,4,,
31020,Vote by Mail,1457,679,46.60 %,,,146,439,,67,,,
31020,Polling Place,1457,343,23.54 %,,,81,222,,23,,,
31020,Total,1457,1022,70.14 %,,,227,661,,90,,,
31030,Vote by Mail,1536,638,41.54 %,,,186,366,,56,,,
31030,Polling Place,1536,466,30.34 %,,,187,214,,25,1,,
31030,Total,1536,1104,71.88 %,,,373,580,,81,1,,
