Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,1 Presidential Preference DEM,,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,Write In,Nakia L. Anthony,,Daphne Denise Bradford,Willie Felix Carter,Michael Dename,Jeffrey H. Drobman,Robert Jordan,Heather Marie Stagg,,
31210,Polling Place,1111,250,22.50 %,,,,,,,,,,,,,
31210,Total,1111,622,55.99 %,,,1,,,,,,,,,,
31240,Vote by Mail,1807,507,28.06 %,,,2,,,,,,,,,,
31240,Polling Place,1807,378,20.92 %,,,,,,,,,,,,,
31240,Total,1807,885,48.98 %,,,2,,,,,,,,,,
31250,Vote by Mail,1598,633,39.61 %,,,1,,,,,,,,,,
31250,Polling Place,1598,378,23.65 %,,,,,,,,,,,,,
31250,Total,1598,1011,63.27 %,,,1,,,,,,,,,,
31300,Vote by Mail,1463,513,35.06 %,,,,,,,,,,,,,
31300,Polling Place,1463,306,20.92 %,,,,,,,,,,,,,
31300,Total,1463,819,55.98 %,,,,,,,,,,,,,
31400,Vote by Mail,1383,599,43.31 %,,,1,,,,,,,,,,
31400,Polling Place,1383,302,21.84 %,,,,,,,,,,,,,
31400,Total,1383,901,65.15 %,,,1,,,,,,,,,,
31450,Vote by Mail,1284,536,41.74 %,,,,,,,,,,,,,
31450,Polling Place,1284,309,24.07 %,,,2,,,,,,,,,,
31450,Total,1284,845,65.81 %,,,2,,,,,,,,,,
31480,Vote by Mail,996,360,36.14 %,,,,,,,,,,,,,
31480,Polling Place,996,208,20.88 %,,,,,,,,,,,,,
31480,Total,996,568,57.03 %,,,,,,,,,,,,,
31490,Vote by Mail,1025,418,40.78 %,,,,,,,,,,,,,
31490,Polling Place,1025,222,21.66 %,,,,,,,,,,,,,
31490,Total,1025,640,62.44 %,,,,,,,,,,,,,
31560,Vote by Mail,893,330,36.95 %,,,,,,,,,,,,,
31560,Polling Place,893,230,25.76 %,,,,,,,,,,,,,
31560,Total,893,560,62.71 %,,,,,,,,,,,,,
31580,Vote by Mail,796,259,32.54 %,,,2,,,,,,,,,,
31580,Polling Place,796,209,26.26 %,,,,,,,,,,,,,
31580,Total,796,468,58.79 %,,,2,,,,,,,,,,
31600,Vote by Mail,822,191,23.24 %,,,,,,,,,,,,,
31600,Polling Place,822,390,47.45 %,,,,,,,,,,,,,
