PRESIDENTIAL PREFERENCE - Democratic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,Party Member Registration,,Party Member Ballots Cast,,,Turnout (%),,Declined to State Voter Ballots Cast,,JULIÁN CASTRO,,,MICHAEL A. ELLINGER,,,ELIZABETH WARREN,,,MARIANNE WILLIAMSON,,,ANDREW YANG,,,"ROQUE ""ROCKY"" DE LA FUENTE III",,,,,JOHN K. DELANEY,,,,,,
11103,,,,,,5,,,,,153,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11105,,,,,,13,,,,,170,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,
11107,,,,,,9,,,,,140,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,
11108,,,,,,10,,,,,110,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11109,,,,,,5,,,,,128,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11111,,,,,,7,,,,,121,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11112,,,,,,2,,,,,148,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11114,,,,,,36,,,,,269,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11115,,,,,,7,,,,,121,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,
11117,,,,,,18,,,,,110,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11118,,,,,,2,,,,,176,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11120,,,,,,6,,,,,121,,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11124,,,,,,1,,,,,26,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11127,,,,,,6,,,,,91,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11130,,,,,,1,,,,,29,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11137,,,,,,7,,,,,164,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11142,,,,,,7,,,,,233,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11149,,,,,,21,,,,,92,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11151,,,,,,31,,,,,181,,7,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11166,,,,,,3,,,,,135,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11201,,,,,,25,,,,,118,,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11202,,,,,,13,,,,,189,,7,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11203,,,,,,26,,,,,174,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11205,,,,,,8,,,,,58,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11206,,,,,,23,,,,,127,,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11208,,,,,,16,,,,,163,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11209,,,,,,29,,,,,183,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11211,,,,,,20,,,,,109,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11212,,,,,,3,,,,,51,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11214,,,,,,7,,,,,146,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11215,,,,,,22,,,,,197,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,
11217,,,,,,49,,,,,230,,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11218,,,,,,13,,,,,173,,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11219,,,,,,32,,,,,140,,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11220,,,,,,33,,,,,176,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11221,,,,,,19,,,,,215,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11224,,,,,,18,,,,,129,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11226,,,,,,16,,,,,122,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11227,,,,,,26,,,,,194,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11230,,,,,,9,,,,,39,,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11234,,,,,,17,,,,,221,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11235,,,,,,20,,,,,146,,11,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11249,,,,,,11,,,,,171,,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11253,,,,,,4,,,,,94,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11258,,,,,,13,,,,,167,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11259,,,,,,7,,,,,50,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11265,,,,,,10,,,,,64,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11266,,,,,,7,,,,,134,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11270,,,,,,3,,,,,65,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11275,,,,,,21,,,,,127,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,
11292,,,,,,5,,,,,72,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11302,,,,,,12,,,,,190,,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11303,,,,,,13,,,,,120,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11304,,,,,,33,,,,,246,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,
PRESIDENTIAL PREFERENCE - Democratic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,Party Member Registration,,Party Member Ballots Cast,,,Turnout (%),,Declined to State Voter Ballots Cast,,JULIÁN CASTRO,,,MICHAEL A. ELLINGER,,,ELIZABETH WARREN,,,MARIANNE WILLIAMSON,,,ANDREW YANG,,,"ROQUE ""ROCKY"" DE LA FUENTE III",,,,,JOHN K. DELANEY,,,,,,
11306,,,,,"1,188",,672,,,56.6,,15,,2,,,0,,,72,,,1,,,7,,,0,,,,,,,0,,,,
11307,,,,,"1,314",,823,,,62.6,,9,,2,,,0,,,50,,,0,,,3,,,2,,,,,,,0,,,,
