Precinct,,,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,,
Total,490,"1,449",,0,0.00%,0,0.00%,54,11.37%,,1,0.21%,2,0.42%,,0,0.00%,0,0.00%,9,1.89%,182,38.32%,0,0.00%,28,5.89%,0,0.00%,0,0.00%,51,10.74%,0,0.00%,0,0.00%,13,2.74%,130,27.37%,5,1.05%,0,0.00%,475,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,143,"1,626",,0,0.00%,0,0.00%,22,15.38%,,0,0.00%,0,0.00%,,0,0.00%,1,0.70%,1,0.70%,72,50.35%,0,0.00%,2,1.40%,0,0.00%,0,0.00%,7,4.90%,0,0.00%,0,0.00%,1,0.70%,37,25.87%,0,0.00%,0,0.00%,143,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,306,"1,626",,1,0.34%,0,0.00%,31,10.40%,,1,0.34%,7,2.35%,,0,0.00%,0,0.00%,2,0.67%,143,47.99%,0,0.00%,17,5.70%,0,0.00%,1,0.34%,26,8.72%,1,0.34%,0,0.00%,9,3.02%,56,18.79%,3,1.01%,0,0.00%,298,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,626",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,449,"1,626",,1,0.23%,0,0.00%,53,12.02%,,1,0.23%,7,1.59%,,0,0.00%,1,0.23%,3,0.68%,215,48.75%,0,0.00%,19,4.31%,0,0.00%,1,0.23%,33,7.48%,1,0.23%,0,0.00%,10,2.27%,93,21.09%,3,0.68%,0,0.00%,441,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,139,"1,700",,0,0.00%,0,0.00%,12,8.96%,,0,0.00%,1,0.75%,,0,0.00%,0,0.00%,1,0.75%,67,50.00%,1,0.75%,1,0.75%,0,0.00%,0,0.00%,10,7.46%,0,0.00%,0,0.00%,1,0.75%,39,29.10%,0,0.00%,1,0.75%,134,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,430,"1,700",,0,0.00%,1,0.24%,48,11.40%,,2,0.48%,2,0.48%,,3,0.71%,0,0.00%,20,4.75%,146,34.68%,0,0.00%,18,4.28%,0,0.00%,0,0.00%,43,10.21%,0,0.00%,1,0.24%,27,6.41%,107,25.42%,3,0.71%,0,0.00%,421,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,700",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,569,"1,700",,0,0.00%,1,0.18%,60,10.81%,,2,0.36%,3,0.54%,,3,0.54%,0,0.00%,21,3.78%,213,38.38%,1,0.18%,19,3.42%,0,0.00%,0,0.00%,53,9.55%,0,0.00%,1,0.18%,28,5.05%,146,26.31%,3,0.54%,1,0.18%,555,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,136,"1,635",,0,0.00%,0,0.00%,12,8.89%,,0,0.00%,1,0.74%,,0,0.00%,0,0.00%,0,0.00%,54,40.00%,0,0.00%,3,2.22%,0,0.00%,0,0.00%,14,10.37%,0,0.00%,0,0.00%,0,0.00%,51,37.78%,0,0.00%,0,0.00%,135,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,396,"1,635",,1,0.26%,0,0.00%,45,11.81%,,0,0.00%,4,1.05%,,1,0.26%,0,0.00%,16,4.20%,116,30.45%,2,0.52%,17,4.46%,0,0.00%,0,0.00%,45,11.81%,0,0.00%,0,0.00%,19,4.99%,109,28.61%,5,1.31%,1,0.26%,381,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,635",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,532,"1,635",,1,0.19%,0,0.00%,57,11.05%,,0,0.00%,5,0.97%,,1,0.19%,0,0.00%,16,3.10%,170,32.95%,2,0.39%,20,3.88%,0,0.00%,0,0.00%,59,11.43%,0,0.00%,0,0.00%,19,3.68%,160,31.01%,5,0.97%,1,0.19%,516,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,187,"1,770",,1,0.54%,0,0.00%,17,9.19%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,105,56.76%,0,0.00%,2,1.08%,0,0.00%,0,0.00%,17,9.19%,0,0.00%,0,0.00%,2,1.08%,41,22.16%,0,0.00%,0,0.00%,185,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,376,"1,770",,1,0.27%,0,0.00%,49,13.14%,,0,0.00%,1,0.27%,,0,0.00%,0,0.00%,11,2.95%,132,35.39%,0,0.00%,11,2.95%,0,0.00%,0,0.00%,33,8.85%,0,0.00%,1,0.27%,28,7.51%,105,28.15%,1,0.27%,0,0.00%,373,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,770",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,563,"1,770",,2,0.36%,0,0.00%,66,11.83%,,0,0.00%,1,0.18%,,0,0.00%,0,0.00%,11,1.97%,237,42.47%,0,0.00%,13,2.33%,0,0.00%,0,0.00%,50,8.96%,0,0.00%,1,0.18%,30,5.38%,146,26.16%,1,0.18%,0,0.00%,558,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,222,"1,479",,0,0.00%,0,0.00%,37,16.67%,,1,0.45%,1,0.45%,,0,0.00%,0,0.00%,0,0.00%,151,68.02%,0,0.00%,1,0.45%,0,0.00%,0,0.00%,8,3.60%,0,0.00%,0,0.00%,0,0.00%,23,10.36%,0,0.00%,0,0.00%,222,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,408,"1,479",,0,0.00%,0,0.00%,89,22.03%,,1,0.25%,3,0.74%,,0,0.00%,0,0.00%,9,2.23%,193,47.77%,1,0.25%,3,0.74%,0,0.00%,0,0.00%,18,4.46%,0,0.00%,0,0.00%,17,4.21%,68,16.83%,2,0.50%,0,0.00%,404,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,479",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,630,"1,479",,0,0.00%,0,0.00%,126,20.13%,,2,0.32%,4,0.64%,,0,0.00%,0,0.00%,9,1.44%,344,54.95%,1,0.16%,4,0.64%,0,0.00%,0,0.00%,26,4.15%,0,0.00%,0,0.00%,17,2.72%,91,14.54%,2,0.32%,0,0.00%,626,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,96,"1,631",,1,1.06%,0,0.00%,9,9.57%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,1.06%,47,50.00%,0,0.00%,1,1.06%,0,0.00%,0,0.00%,10,10.64%,0,0.00%,0,0.00%,0,0.00%,24,25.53%,0,0.00%,1,1.06%,94,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,351,"1,631",,3,0.87%,0,0.00%,32,9.28%,,0,0.00%,2,0.58%,,0,0.00%,0,0.00%,10,2.90%,120,34.78%,0,0.00%,18,5.22%,1,0.29%,0,0.00%,49,14.20%,1,0.29%,0,0.00%,22,6.38%,84,24.35%,2,0.58%,1,0.29%,345,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,631",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,447,"1,631",,4,0.91%,0,0.00%,41,9.34%,,0,0.00%,2,0.46%,,0,0.00%,0,0.00%,11,2.51%,167,38.04%,0,0.00%,19,4.33%,1,0.23%,0,0.00%,59,13.44%,1,0.23%,0,0.00%,22,5.01%,108,24.60%,2,0.46%,2,0.46%,439,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,87,"1,316",,1,1.15%,0,0.00%,6,6.90%,,1,1.15%,1,1.15%,,0,0.00%,0,0.00%,0,0.00%,48,55.17%,0,0.00%,1,1.15%,0,0.00%,0,0.00%,4,4.60%,0,0.00%,0,0.00%,1,1.15%,24,27.59%,0,0.00%,0,0.00%,87,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,274,"1,316",,1,0.37%,0,0.00%,29,10.74%,,1,0.37%,2,0.74%,,1,0.37%,0,0.00%,6,2.22%,96,35.56%,0,0.00%,12,4.44%,0,0.00%,1,0.37%,38,14.07%,0,0.00%,0,0.00%,16,5.93%,63,23.33%,3,1.11%,1,0.37%,270,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,316",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,361,"1,316",,2,0.56%,0,0.00%,35,9.80%,,2,0.56%,3,0.84%,,1,0.28%,0,0.00%,6,1.68%,144,40.34%,0,0.00%,13,3.64%,0,0.00%,1,0.28%,42,11.76%,0,0.00%,0,0.00%,17,4.76%,87,24.37%,3,0.84%,1,0.28%,357,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,63,932,,0,0.00%,1,1.59%,6,9.52%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,23,36.51%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,9.52%,0,0.00%,0,0.00%,0,0.00%,27,42.86%,0,0.00%,0,0.00%,63,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,189,932,,1,0.53%,0,0.00%,20,10.70%,,1,0.53%,4,2.14%,,0,0.00%,0,0.00%,7,3.74%,52,27.81%,0,0.00%,10,5.35%,0,0.00%,0,0.00%,28,14.97%,0,0.00%,0,0.00%,13,6.95%,49,26.20%,2,1.07%,0,0.00%,187,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,932,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,252,932,,1,0.40%,1,0.40%,26,10.40%,,1,0.40%,4,1.60%,,0,0.00%,0,0.00%,7,2.80%,75,30.00%,0,0.00%,10,4.00%,0,0.00%,0,0.00%,34,13.60%,0,0.00%,0,0.00%,13,5.20%,76,30.40%,2,0.80%,0,0.00%,250,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,112,"1,705",,0,0.00%,0,0.00%,11,9.82%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,50,44.64%,0,0.00%,1,0.89%,0,0.00%,0,0.00%,9,8.04%,0,0.00%,0,0.00%,0,0.00%,41,36.61%,0,0.00%,0,0.00%,112,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,342,"1,705",,1,0.29%,0,0.00%,24,7.08%,,0,0.00%,1,0.29%,,1,0.29%,0,0.00%,13,3.83%,113,33.33%,0,0.00%,13,3.83%,0,0.00%,0,0.00%,54,15.93%,0,0.00%,0,0.00%,18,5.31%,98,28.91%,3,0.88%,0,0.00%,339,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,705",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,454,"1,705",,1,0.22%,0,0.00%,35,7.76%,,0,0.00%,1,0.22%,,1,0.22%,0,0.00%,13,2.88%,163,36.14%,0,0.00%,14,3.10%,0,0.00%,0,0.00%,63,13.97%,0,0.00%,0,0.00%,18,3.99%,139,30.82%,3,0.67%,0,0.00%,451,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,68,"1,200",,0,0.00%,0,0.00%,6,8.96%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,23,34.33%,1,1.49%,0,0.00%,0,0.00%,0,0.00%,5,7.46%,0,0.00%,1,1.49%,0,0.00%,31,46.27%,0,0.00%,0,0.00%,67,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,293,"1,200",,0,0.00%,0,0.00%,21,7.32%,,0,0.00%,3,1.05%,,1,0.35%,0,0.00%,6,2.09%,69,24.04%,0,0.00%,19,6.62%,0,0.00%,0,0.00%,50,17.42%,0,0.00%,1,0.35%,20,6.97%,91,31.71%,6,2.09%,0,0.00%,287,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,200",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,361,"1,200",,0,0.00%,0,0.00%,27,7.63%,,0,0.00%,3,0.85%,,1,0.28%,0,0.00%,6,1.69%,92,25.99%,1,0.28%,19,5.37%,0,0.00%,0,0.00%,55,15.54%,0,0.00%,2,0.56%,20,5.65%,122,34.46%,6,1.69%,0,0.00%,354,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,75,921,,0,0.00%,0,0.00%,9,12.16%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,27,36.49%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,9.46%,0,0.00%,0,0.00%,0,0.00%,30,40.54%,1,1.35%,0,0.00%,74,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,202,921,,1,0.51%,0,0.00%,18,9.09%,,0,0.00%,3,1.52%,,0,0.00%,0,0.00%,9,4.55%,69,34.85%,0,0.00%,6,3.03%,0,0.00%,0,0.00%,24,12.12%,0,0.00%,1,0.51%,18,9.09%,49,24.75%,0,0.00%,0,0.00%,198,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,921,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,277,921,,1,0.37%,0,0.00%,27,9.93%,,0,0.00%,3,1.10%,,0,0.00%,0,0.00%,9,3.31%,96,35.29%,0,0.00%,6,2.21%,0,0.00%,0,0.00%,31,11.40%,0,0.00%,1,0.37%,18,6.62%,79,29.04%,1,0.37%,0,0.00%,272,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,107,"1,510",,0,0.00%,0,0.00%,10,9.52%,,0,0.00%,1,0.95%,,0,0.00%,0,0.00%,1,0.95%,34,32.38%,0,0.00%,2,1.90%,0,0.00%,0,0.00%,15,14.29%,0,0.00%,0,0.00%,0,0.00%,42,40.00%,0,0.00%,0,0.00%,105,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,342,"1,510",,0,0.00%,0,0.00%,38,11.28%,,0,0.00%,3,0.89%,,0,0.00%,0,0.00%,11,3.26%,104,30.86%,0,0.00%,16,4.75%,0,0.00%,0,0.00%,54,16.02%,0,0.00%,0,0.00%,22,6.53%,87,25.82%,2,0.59%,0,0.00%,337,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,510",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,449,"1,510",,0,0.00%,0,0.00%,48,10.86%,,0,0.00%,4,0.90%,,0,0.00%,0,0.00%,12,2.71%,138,31.22%,0,0.00%,18,4.07%,0,0.00%,0,0.00%,69,15.61%,0,0.00%,0,0.00%,22,4.98%,129,29.19%,2,0.45%,0,0.00%,442,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,84,927,,0,0.00%,0,0.00%,10,12.50%,,1,1.25%,0,0.00%,,2,2.50%,0,0.00%,0,0.00%,17,21.25%,0,0.00%,2,2.50%,0,0.00%,0,0.00%,9,11.25%,0,0.00%,0,0.00%,0,0.00%,39,48.75%,0,0.00%,0,0.00%,80,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,236,927,,0,0.00%,0,0.00%,30,12.77%,,1,0.43%,2,0.85%,,1,0.43%,0,0.00%,10,4.26%,57,24.26%,0,0.00%,12,5.11%,0,0.00%,0,0.00%,30,12.77%,0,0.00%,1,0.43%,26,11.06%,65,27.66%,0,0.00%,0,0.00%,235,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,927,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,320,927,,0,0.00%,0,0.00%,40,12.70%,,2,0.63%,2,0.63%,,3,0.95%,0,0.00%,10,3.17%,74,23.49%,0,0.00%,14,4.44%,0,0.00%,0,0.00%,39,12.38%,0,0.00%,1,0.32%,26,8.25%,104,33.02%,0,0.00%,0,0.00%,315,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,100,"1,423",,0,0.00%,0,0.00%,13,13.27%,,0,0.00%,1,1.02%,,0,0.00%,0,0.00%,0,0.00%,30,30.61%,0,0.00%,2,2.04%,0,0.00%,0,0.00%,8,8.16%,0,0.00%,0,0.00%,0,0.00%,44,44.90%,0,0.00%,0,0.00%,98,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,294,"1,423",,0,0.00%,0,0.00%,41,14.09%,,0,0.00%,0,0.00%,,0,0.00%,1,0.34%,9,3.09%,78,26.80%,0,0.00%,11,3.78%,0,0.00%,0,0.00%,54,18.56%,0,0.00%,0,0.00%,18,6.19%,78,26.80%,1,0.34%,0,0.00%,291,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,423",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,394,"1,423",,0,0.00%,0,0.00%,54,13.88%,,0,0.00%,1,0.26%,,0,0.00%,1,0.26%,9,2.31%,108,27.76%,0,0.00%,13,3.34%,0,0.00%,0,0.00%,62,15.94%,0,0.00%,0,0.00%,18,4.63%,122,31.36%,1,0.26%,0,0.00%,389,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,94,"1,263",,0,0.00%,0,0.00%,10,10.64%,,0,0.00%,1,1.06%,,0,0.00%,0,0.00%,2,2.13%,30,31.91%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,14.89%,0,0.00%,0,0.00%,0,0.00%,37,39.36%,0,0.00%,0,0.00%,94,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,286,"1,263",,2,0.70%,0,0.00%,18,6.34%,,1,0.35%,2,0.70%,,1,0.35%,0,0.00%,13,4.58%,72,25.35%,0,0.00%,9,3.17%,0,0.00%,0,0.00%,42,14.79%,0,0.00%,0,0.00%,25,8.80%,96,33.80%,2,0.70%,1,0.35%,284,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,263",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,380,"1,263",,2,0.53%,0,0.00%,28,7.41%,,1,0.26%,3,0.79%,,1,0.26%,0,0.00%,15,3.97%,102,26.98%,0,0.00%,9,2.38%,0,0.00%,0,0.00%,56,14.81%,0,0.00%,0,0.00%,25,6.61%,133,35.19%,2,0.53%,1,0.26%,378,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,173,"1,516",,0,0.00%,0,0.00%,28,16.47%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,77,45.29%,0,0.00%,2,1.18%,0,0.00%,0,0.00%,4,2.35%,0,0.00%,0,0.00%,0,0.00%,58,34.12%,0,0.00%,1,0.59%,170,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,519,"1,516",,0,0.00%,0,0.00%,90,17.44%,,0,0.00%,4,0.78%,,0,0.00%,1,0.19%,33,6.40%,125,24.22%,0,0.00%,13,2.52%,0,0.00%,1,0.19%,74,14.34%,0,0.00%,0,0.00%,28,5.43%,141,27.33%,6,1.16%,0,0.00%,516,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,516",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,692,"1,516",,0,0.00%,0,0.00%,118,17.20%,,0,0.00%,4,0.58%,,0,0.00%,1,0.15%,33,4.81%,202,29.45%,0,0.00%,15,2.19%,0,0.00%,1,0.15%,78,11.37%,0,0.00%,0,0.00%,28,4.08%,199,29.01%,6,0.87%,1,0.15%,686,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,232,"1,677",,0,0.00%,0,0.00%,42,18.18%,,0,0.00%,1,0.43%,,0,0.00%,0,0.00%,0,0.00%,109,47.19%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,20,8.66%,0,0.00%,0,0.00%,1,0.43%,58,25.11%,0,0.00%,0,0.00%,231,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,419,"1,677",,1,0.24%,0,0.00%,59,14.39%,,1,0.24%,2,0.49%,,0,0.00%,0,0.00%,18,4.39%,142,34.63%,0,0.00%,8,1.95%,0,0.00%,0,0.00%,56,13.66%,0,0.00%,0,0.00%,25,6.10%,95,23.17%,1,0.24%,2,0.49%,410,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,677",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
