Page: 2 of 35,,,,,,,,,,,3/27/2020 3:38:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DEMOCRATIC PARTY PRESIDENTIAL PREFERENCE (Vote for  1) 
DEM  **** - Insufficient Turnout to Protect Voter Privacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,69,310,,Election Day,0,0.00%,0,0.00%,3,4.41%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,2.94%,9,13.24%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,16,23.53%,0,0.00%,0,0.00%,0,0.00%,37,54.41%,1,1.47%,0,0.00%,68,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,292,310,,Total,0,0.00%,0,0.00%,30,10.38%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,19,6.57%,35,12.11%,0,0.00%,6,2.08%,0,0.00%,2,0.69%,60,20.76%,0,0.00%,0,0.00%,16,5.54%,119,41.18%,2,0.69%,0,0.00%,289,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
ALMO109 0,,,,ALMO109 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,230,353,,Vote By Mail,0,0.00%,0,0.00%,14,6.14%,,0,0.00%,1,0.44%,,0,0.00%,0,0.00%,14,6.14%,21,9.21%,0,0.00%,3,1.32%,0,0.00%,0,0.00%,68,29.82%,2,0.88%,0,0.00%,22,9.65%,82,35.96%,1,0.44%,0,0.00%,228,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,63,353,,Election Day,0,0.00%,0,0.00%,3,4.76%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,6,9.52%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,20.63%,1,1.59%,0,0.00%,1,1.59%,39,61.90%,0,0.00%,0,0.00%,63,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,293,353,,Total,0,0.00%,0,0.00%,17,5.84%,,0,0.00%,1,0.34%,,0,0.00%,0,0.00%,14,4.81%,27,9.28%,0,0.00%,3,1.03%,0,0.00%,0,0.00%,81,27.84%,3,1.03%,0,0.00%,23,7.90%,121,41.58%,1,0.34%,0,0.00%,291,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
ALMO110 0,,,,ALMO110 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,234,337,,Vote By Mail,0,0.00%,0,0.00%,14,6.06%,,0,0.00%,2,0.87%,,0,0.00%,0,0.00%,18,7.79%,27,11.69%,0,0.00%,2,0.87%,0,0.00%,0,0.00%,65,28.14%,0,0.00%,0,0.00%,13,5.63%,90,38.96%,0,0.00%,0,0.00%,231,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,80,337,,Election Day,0,0.00%,0,0.00%,5,6.33%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,10,12.66%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,15,18.99%,0,0.00%,0,0.00%,0,0.00%,48,60.76%,1,1.27%,0,0.00%,79,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,314,337,,Total,0,0.00%,0,0.00%,19,6.13%,,0,0.00%,2,0.65%,,0,0.00%,0,0.00%,18,5.81%,37,11.94%,0,0.00%,2,0.65%,0,0.00%,0,0.00%,80,25.81%,0,0.00%,0,0.00%,13,4.19%,138,44.52%,1,0.32%,0,0.00%,310,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
