Page: 2 of 28,,,,,,,,,,,4/3/2020 3:21:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the US DEM (Vote for  1)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,,Kern County,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,"MARIANNE WILLIAMSON
(DEM) ",,,"ANDREW YANG
(DEM) ",,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,
Vote by Mail,"1,499",Vote by Mail,,0,0.00%,0,0.00%,4,3.39%,0,,0.00%,1,0.85%,0,,0.00%,0,0.00%,2,1.69%,46,38.98%,0,0.00%,7,5.93%,1,0.85%,1,0.85%,19,16.10%,0,0.00%,1,0.85%,5,4.24%,31,26.27%,0,0.00%,0,0.00%,118,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,499",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,499",Total,,0,0.00%,0,0.00%,10,4.76%,0,,0.00%,2,0.95%,0,,0.00%,0,0.00%,2,0.95%,83,39.52%,1,0.48%,9,4.29%,1,0.48%,3,1.43%,26,12.38%,0,0.00%,1,0.48%,6,2.86%,65,30.95%,1,0.48%,0,0.00%,210,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020256,,0020256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,489",Poll Place,,0,0.00%,1,1.02%,6,6.12%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,1.02%,36,36.73%,0,0.00%,1,1.02%,0,0.00%,0,0.00%,8,8.16%,0,0.00%,0,0.00%,0,0.00%,45,45.92%,0,0.00%,0,0.00%,98,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,489",Vote by Mail,,0,0.00%,0,0.00%,12,5.88%,0,,0.00%,3,1.47%,0,,0.00%,0,0.00%,4,1.96%,76,37.25%,0,0.00%,5,2.45%,0,0.00%,1,0.49%,32,15.69%,0,0.00%,0,0.00%,16,7.84%,55,26.96%,0,0.00%,0,0.00%,204,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,489",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,489",Total,,0,0.00%,1,0.33%,18,5.96%,0,,0.00%,3,0.99%,0,,0.00%,0,0.00%,5,1.66%,112,37.09%,0,0.00%,6,1.99%,0,0.00%,1,0.33%,40,13.25%,0,0.00%,0,0.00%,16,5.30%,100,33.11%,0,0.00%,0,0.00%,302,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020260,,0020260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,910,Poll Place,,0,0.00%,0,0.00%,1,1.59%,0,,0.00%,0,0.00%,1,,1.59%,0,0.00%,1,1.59%,40,63.49%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,9.52%,0,0.00%,0,0.00%,0,0.00%,14,22.22%,0,0.00%,0,0.00%,63,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,910,Vote by Mail,,0,0.00%,0,0.00%,5,5.43%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,2,2.17%,38,41.30%,0,0.00%,7,7.61%,0,0.00%,0,0.00%,15,16.30%,0,0.00%,0,0.00%,4,4.35%,20,21.74%,1,1.09%,0,0.00%,92,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,910,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,910,Total,,0,0.00%,0,0.00%,6,3.87%,0,,0.00%,0,0.00%,1,,0.65%,0,0.00%,3,1.94%,78,50.32%,0,0.00%,7,4.52%,0,0.00%,0,0.00%,21,13.55%,0,0.00%,0,0.00%,4,2.58%,34,21.94%,1,0.65%,0,0.00%,155,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020262,,0020262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,708,Poll Place,,0,0.00%,0,0.00%,2,5.26%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,15,39.47%,0,0.00%,3,7.89%,0,0.00%,0,0.00%,2,5.26%,0,0.00%,0,0.00%,1,2.63%,15,39.47%,0,0.00%,0,0.00%,38,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,708,Vote by Mail,,0,0.00%,0,0.00%,7,10.77%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,1.54%,24,36.92%,0,0.00%,1,1.54%,0,0.00%,0,0.00%,12,18.46%,0,0.00%,0,0.00%,1,1.54%,19,29.23%,0,0.00%,0,0.00%,65,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,708,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,708,Total,,0,0.00%,0,0.00%,9,8.74%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,0.97%,39,37.86%,0,0.00%,4,3.88%,0,0.00%,0,0.00%,14,13.59%,0,0.00%,0,0.00%,2,1.94%,34,33.01%,0,0.00%,0,0.00%,103,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020263,,0020263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,819,Poll Place,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,36,52.17%,0,0.00%,1,1.45%,0,0.00%,0,0.00%,4,5.80%,0,0.00%,0,0.00%,0,0.00%,27,39.13%,1,1.45%,0,0.00%,69,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,819,Vote by Mail,,0,0.00%,0,0.00%,6,6.12%,0,,0.00%,2,2.04%,0,,0.00%,0,0.00%,2,2.04%,39,39.80%,0,0.00%,9,9.18%,0,0.00%,0,0.00%,12,12.24%,0,0.00%,0,0.00%,7,7.14%,18,18.37%,3,3.06%,0,0.00%,98,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,819,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,819,Total,,0,0.00%,0,0.00%,6,3.59%,0,,0.00%,2,1.20%,0,,0.00%,0,0.00%,2,1.20%,75,44.91%,0,0.00%,10,5.99%,0,0.00%,0,0.00%,16,9.58%,0,0.00%,0,0.00%,7,4.19%,45,26.95%,4,2.40%,0,0.00%,167,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020271,,0020271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,322",Poll Place,,1,0.98%,0,0.00%,5,4.90%,0,,0.00%,1,0.98%,0,,0.00%,0,0.00%,0,0.00%,50,49.02%,0,0.00%,1,0.98%,0,0.00%,0,0.00%,12,11.76%,0,0.00%,0,0.00%,0,0.00%,32,31.37%,0,0.00%,0,0.00%,102,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,322",Vote by Mail,,2,1.63%,0,0.00%,8,6.50%,0,,0.00%,2,1.63%,0,,0.00%,0,0.00%,0,0.00%,49,39.84%,2,1.63%,8,6.50%,1,0.81%,1,0.81%,15,12.20%,0,0.00%,0,0.00%,2,1.63%,33,26.83%,0,0.00%,0,0.00%,123,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,322",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,322",Total,,3,1.33%,0,0.00%,13,5.78%,0,,0.00%,3,1.33%,0,,0.00%,0,0.00%,0,0.00%,99,44.00%,2,0.89%,9,4.00%,1,0.44%,1,0.44%,27,12.00%,0,0.00%,0,0.00%,2,0.89%,65,28.89%,0,0.00%,0,0.00%,225,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020272,,0020272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,381",Poll Place,,1,1.37%,0,0.00%,1,1.37%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,40,54.79%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,13.70%,0,0.00%,0,0.00%,0,0.00%,20,27.40%,1,1.37%,0,0.00%,73,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,381",Vote by Mail,,1,0.67%,1,0.67%,9,6.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,0.67%,93,62.00%,0,0.00%,3,2.00%,0,0.00%,0,0.00%,17,11.33%,0,0.00%,0,0.00%,2,1.33%,23,15.33%,0,0.00%,0,0.00%,150,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,381",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,381",Total,,2,0.90%,1,0.45%,10,4.48%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,0.45%,133,59.64%,0,0.00%,3,1.35%,0,0.00%,0,0.00%,27,12.11%,0,0.00%,0,0.00%,2,0.90%,43,19.28%,1,0.45%,0,0.00%,223,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020282,,0020282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,135",Poll Place,,0,0.00%,0,0.00%,1,1.23%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,47,58.02%,0,0.00%,1,1.23%,0,0.00%,0,0.00%,5,6.17%,1,1.23%,0,0.00%,1,1.23%,24,29.63%,1,1.23%,0,0.00%,81,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,135",Vote by Mail,,3,2.54%,0,0.00%,11,9.32%,0,,0.00%,1,0.85%,0,,0.00%,0,0.00%,2,1.69%,38,32.20%,0,0.00%,4,3.39%,0,0.00%,0,0.00%,19,16.10%,0,0.00%,2,1.69%,8,6.78%,30,25.42%,0,0.00%,0,0.00%,118,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,135",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,135",Total,,3,1.51%,0,0.00%,12,6.03%,0,,0.00%,1,0.50%,0,,0.00%,0,0.00%,2,1.01%,85,42.71%,0,0.00%,5,2.51%,0,0.00%,0,0.00%,24,12.06%,1,0.50%,2,1.01%,9,4.52%,54,27.14%,1,0.50%,0,0.00%,199,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020283,,0020283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"2,062",Poll Place,,0,0.00%,0,0.00%,5,6.85%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,33,45.21%,0,0.00%,2,2.74%,0,0.00%,0,0.00%,2,2.74%,0,0.00%,0,0.00%,0,0.00%,30,41.10%,1,1.37%,0,0.00%,73,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"2,062",Vote by Mail,,1,0.52%,2,1.05%,9,4.71%,1,,0.52%,4,2.09%,0,,0.00%,0,0.00%,2,1.05%,84,43.98%,0,0.00%,1,0.52%,0,0.00%,0,0.00%,27,14.14%,0,0.00%,0,0.00%,14,7.33%,43,22.51%,3,1.57%,0,0.00%,191,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"2,062",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"2,062",Total,,1,0.38%,2,0.76%,14,5.30%,1,,0.38%,4,1.52%,0,,0.00%,0,0.00%,2,0.76%,117,44.32%,0,0.00%,3,1.14%,0,0.00%,0,0.00%,29,10.98%,0,0.00%,0,0.00%,14,5.30%,73,27.65%,4,1.52%,0,0.00%,264,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020284,,0020284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,884,Poll Place,,0,0.00%,0,0.00%,5,9.43%,0,,0.00%,1,1.89%,0,,0.00%,0,0.00%,0,0.00%,21,39.62%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,11.32%,0,0.00%,0,0.00%,2,3.77%,17,32.08%,1,1.89%,0,0.00%,53,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,884,Vote by Mail,,0,0.00%,1,1.25%,8,10.00%,1,,1.25%,2,2.50%,1,,1.25%,0,0.00%,0,0.00%,36,45.00%,0,0.00%,2,2.50%,0,0.00%,0,0.00%,13,16.25%,0,0.00%,0,0.00%,4,5.00%,11,13.75%,0,0.00%,1,1.25%,80,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,884,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,884,Total,,0,0.00%,1,0.75%,13,9.77%,1,,0.75%,3,2.26%,1,,0.75%,0,0.00%,0,0.00%,57,42.86%,0,0.00%,2,1.50%,0,0.00%,0,0.00%,19,14.29%,0,0.00%,0,0.00%,6,4.51%,28,21.05%,1,0.75%,1,0.75%,133,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020286,,0020286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,416",Poll Place,,0,0.00%,0,0.00%,4,5.19%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,30,38.96%,0,0.00%,0,0.00%,0,0.00%,2,2.60%,7,9.09%,0,0.00%,1,1.30%,1,1.30%,32,41.56%,0,0.00%,0,0.00%,77,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,416",Vote by Mail,,0,0.00%,0,0.00%,6,4.32%,0,,0.00%,2,1.44%,0,,0.00%,0,0.00%,1,0.72%,71,51.08%,0,0.00%,4,2.88%,2,1.44%,1,0.72%,11,7.91%,0,0.00%,1,0.72%,6,4.32%,33,23.74%,1,0.72%,0,0.00%,139,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,416",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,416",Total,,0,0.00%,0,0.00%,10,4.63%,0,,0.00%,2,0.93%,0,,0.00%,0,0.00%,1,0.46%,101,46.76%,0,0.00%,4,1.85%,2,0.93%,3,1.39%,18,8.33%,0,0.00%,2,0.93%,7,3.24%,65,30.09%,1,0.46%,0,0.00%,216,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020288,,0020288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,846,Poll Place,,0,0.00%,0,0.00%,2,3.70%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,24,44.44%,0,0.00%,3,5.56%,0,0.00%,0,0.00%,8,14.81%,0,0.00%,0,0.00%,2,3.70%,15,27.78%,0,0.00%,0,0.00%,54,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,846,Vote by Mail,,0,0.00%,0,0.00%,7,8.24%,0,,0.00%,1,1.18%,0,,0.00%,0,0.00%,0,0.00%,39,45.88%,0,0.00%,3,3.53%,0,0.00%,0,0.00%,15,17.65%,0,0.00%,0,0.00%,0,0.00%,20,23.53%,0,0.00%,0,0.00%,85,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,846,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,846,Total,,0,0.00%,0,0.00%,9,6.47%,0,,0.00%,1,0.72%,0,,0.00%,0,0.00%,0,0.00%,63,45.32%,0,0.00%,6,4.32%,0,0.00%,0,0.00%,23,16.55%,0,0.00%,0,0.00%,2,1.44%,35,25.18%,0,0.00%,0,0.00%,139,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020289,,0020289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,364",Poll Place,,0,0.00%,0,0.00%,5,6.02%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,48,57.83%,0,0.00%,1,1.20%,0,0.00%,3,3.61%,7,8.43%,0,0.00%,0,0.00%,0,0.00%,19,22.89%,0,0.00%,0,0.00%,83,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,364",Vote by Mail,,0,0.00%,0,0.00%,9,6.29%,0,,0.00%,1,0.70%,0,,0.00%,0,0.00%,0,0.00%,61,42.66%,0,0.00%,9,6.29%,0,0.00%,1,0.70%,29,20.28%,0,0.00%,0,0.00%,5,3.50%,28,19.58%,0,0.00%,0,0.00%,143,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,364",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,364",Total,,0,0.00%,0,0.00%,14,6.19%,0,,0.00%,1,0.44%,0,,0.00%,0,0.00%,0,0.00%,109,48.23%,0,0.00%,10,4.42%,0,0.00%,4,1.77%,36,15.93%,0,0.00%,0,0.00%,5,2.21%,47,20.80%,0,0.00%,0,0.00%,226,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020294,,0020294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,097",Poll Place,,0,0.00%,0,0.00%,1,1.85%,0,,0.00%,1,1.85%,0,,0.00%,0,0.00%,0,0.00%,28,51.85%,0,0.00%,1,1.85%,0,0.00%,0,0.00%,2,3.70%,0,0.00%,0,0.00%,0,0.00%,21,38.89%,0,0.00%,0,0.00%,54,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,097",Vote by Mail,,0,0.00%,0,0.00%,17,13.28%,1,,0.78%,4,3.13%,0,,0.00%,0,0.00%,0,0.00%,44,34.38%,0,0.00%,2,1.56%,0,0.00%,1,0.78%,12,9.38%,0,0.00%,0,0.00%,3,2.34%,41,32.03%,2,1.56%,1,0.78%,128,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,097",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,097",Total,,0,0.00%,0,0.00%,18,9.89%,1,,0.55%,5,2.75%,0,,0.00%,0,0.00%,0,0.00%,72,39.56%,0,0.00%,3,1.65%,0,0.00%,1,0.55%,14,7.69%,0,0.00%,0,0.00%,3,1.65%,62,34.07%,2,1.10%,1,0.55%,182,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020298,,0020298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,058",Poll Place,,1,2.08%,0,0.00%,2,4.17%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,26,54.17%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,10.42%,0,0.00%,0,0.00%,0,0.00%,14,29.17%,0,0.00%,0,0.00%,48,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,058",Vote by Mail,,0,0.00%,0,0.00%,11,8.40%,0,,0.00%,2,1.53%,0,,0.00%,0,0.00%,4,3.05%,54,41.22%,0,0.00%,7,5.34%,0,0.00%,2,1.53%,12,9.16%,0,0.00%,1,0.76%,5,3.82%,31,23.66%,2,1.53%,0,0.00%,131,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,058",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,058",Total,,1,0.56%,0,0.00%,13,7.26%,0,,0.00%,2,1.12%,0,,0.00%,0,0.00%,4,2.23%,80,44.69%,0,0.00%,7,3.91%,0,0.00%,2,1.12%,17,9.50%,0,0.00%,1,0.56%,5,2.79%,45,25.14%,2,1.12%,0,0.00%,179,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0021143,,0021143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,074",Poll Place,,0,0.00%,0,0.00%,5,11.90%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,15,35.71%,0,0.00%,1,2.38%,0,0.00%,0,0.00%,3,7.14%,0,0.00%,0,0.00%,1,2.38%,15,35.71%,2,4.76%,0,0.00%,42,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,074",Vote by Mail,,0,0.00%,0,0.00%,16,12.60%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,12,9.45%,25,19.69%,0,0.00%,6,4.72%,0,0.00%,1,0.79%,21,16.54%,0,0.00%,0,0.00%,9,7.09%,36,28.35%,1,0.79%,0,0.00%,127,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,074",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,074",Total,,0,0.00%,0,0.00%,21,12.43%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,12,7.10%,40,23.67%,0,0.00%,7,4.14%,0,0.00%,1,0.59%,24,14.20%,0,0.00%,0,0.00%,10,5.92%,51,30.18%,3,1.78%,0,0.00%,169,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0021144,,0021144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,894,Poll Place,,0,0.00%,0,0.00%,7,21.88%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,4,12.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,9.38%,0,0.00%,0,0.00%,0,0.00%,17,53.13%,1,3.13%,0,0.00%,32,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,894,Vote by Mail,,0,0.00%,0,0.00%,17,14.41%,0,,0.00%,1,0.85%,0,,0.00%,0,0.00%,6,5.08%,20,16.95%,0,0.00%,1,0.85%,0,0.00%,0,0.00%,19,16.10%,0,0.00%,0,0.00%,13,11.02%,41,34.75%,0,0.00%,0,0.00%,118,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,894,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
