COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
L A UNIFIED SCH-BOE 2, , , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MARIA BRENES,ROCIO RIVAS,
LOS ANGELES,9000922D,1311,291,N,2965,TOTAL,1108,444,546, 
LOS ANGELES,9000947A,1313,278,N, ,POLLING PLACE,371,127,182, 
LOS ANGELES,9000947A,1313,278,N, ,VBM PORTION,1875,600,1006, 
LOS ANGELES,9000947A,1313,278,N,3533,TOTAL,2246,727,1188, 
LOS ANGELES,9000964A,1315,278,N, ,POLLING PLACE,199,90,72, 
LOS ANGELES,9000964A,1315,278,N, ,VBM PORTION,651,240,343, 
LOS ANGELES,9000964A,1315,278,N,1819,TOTAL,850,330,415, 
LOS ANGELES,9000966A,1316,278,N, ,POLLING PLACE,184,69,83, 
LOS ANGELES,9000966A,1316,278,N, ,VBM PORTION,975,310,533, 
LOS ANGELES,9000966A,1316,278,N,2260,TOTAL,1159,379,616, 
LOS ANGELES,9001014A,7618,298,N, ,POLLING PLACE,93,40,38, 
LOS ANGELES,9001014A,7618,298,N, ,VBM PORTION,374,153,185, 
LOS ANGELES,9001014A,7618,298,N,1475,TOTAL,467,193,223, 
LOS ANGELES,9001023A,1327,296,N, ,POLLING PLACE,226,100,82, 
LOS ANGELES,9001023A,1327,296,N, ,VBM PORTION,1014,392,449, 
LOS ANGELES,9001023A,1327,296,N,2994,TOTAL,1240,492,531, 
LOS ANGELES,9001025A,7620,298,N, ,POLLING PLACE,13,6,3, 
LOS ANGELES,9001025A,7620,298,N, ,VBM PORTION,48,18,16, 
LOS ANGELES,9001025A,7620,298,N,144,TOTAL,61,24,19, 
LOS ANGELES,9001047B,1332,298,N, ,POLLING PLACE,165,74,66, 
LOS ANGELES,9001047B,1332,298,N, ,VBM PORTION,713,341,277, 
LOS ANGELES,9001047B,1332,298,N,2870,TOTAL,878,415,343, 
LOS ANGELES,9001078A,1336,296,N, ,POLLING PLACE,190,82,82, 
LOS ANGELES,9001078A,1336,296,N, ,VBM PORTION,594,223,286, 
LOS ANGELES,9001078A,1336,296,N,2132,TOTAL,784,305,368, 
LOS ANGELES,9001210A,1361,291,N, ,POLLING PLACE,189,78,81, 
LOS ANGELES,9001210A,1361,291,N, ,VBM PORTION,575,227,282, 
LOS ANGELES,9001210A,1361,291,N,2733,TOTAL,764,305,363, 
LOS ANGELES,9001280A,1369,452,N, ,POLLING PLACE,309,129,110, 
LOS ANGELES,9001280A,1369,452,N, ,VBM PORTION,904,384,384, 
LOS ANGELES,9001280A,1369,452,N,3288,TOTAL,1213,513,494, 
LOS ANGELES,9001345A,1376,485,N, ,POLLING PLACE,277,131,86, 
LOS ANGELES,9001345A,1376,485,N, ,VBM PORTION,1055,426,394, 
LOS ANGELES,9001345A,1376,485,N,3148,TOTAL,1332,557,480, 
LOS ANGELES,9001372A,1380,452,N, ,POLLING PLACE,47,25,10, 
LOS ANGELES,9001372A,1380,452,N, ,VBM PORTION,74,47,16, 
LOS ANGELES,9001372A,1380,452,N,1638,TOTAL,121,72,26, 
LOS ANGELES,9001387A,1384,278,N, ,POLLING PLACE,290,109,134, 
LOS ANGELES,9001387A,1384,278,N, ,VBM PORTION,1244,403,647, 
LOS ANGELES,9001387A,1384,278,N,3074,TOTAL,1534,512,781, 
LOS ANGELES,9001410A,1386,298,N, ,POLLING PLACE,129,59,51, 
LOS ANGELES,9001410A,1386,298,N, ,VBM PORTION,332,156,148, 
LOS ANGELES,9001410A,1386,298,N,2020,TOTAL,461,215,199, 
LOS ANGELES,9001419A,1387,296,N, ,POLLING PLACE,239,102,106, 
LOS ANGELES,9001419A,1387,296,N, ,VBM PORTION,967,349,490, 
LOS ANGELES,9001419A,1387,296,N,2990,TOTAL,1206,451,596, 
LOS ANGELES,9001469A,1399,298,N, ,POLLING PLACE,162,100,46, 
LOS ANGELES,9001469A,1399,298,N, ,VBM PORTION,421,197,186, 
LOS ANGELES,9001469A,1399,298,N,2364,TOTAL,583,297,232, 
LOS ANGELES,9001499A,1412,298,N, ,POLLING PLACE,200,93,76, 
LOS ANGELES,9001499A,1412,298,N, ,VBM PORTION,730,317,258, 
LOS ANGELES,9001499A,1412,298,N,3291,TOTAL,930,410,334, 
LOS ANGELES,9001500A,1413,291,N, ,POLLING PLACE,266,117,113, 
LOS ANGELES,9001500A,1413,291,N, ,VBM PORTION,1200,448,591, 
LOS ANGELES,9001500A,1413,291,N,2970,TOTAL,1466,565,704, 
LOS ANGELES,9001539A,7660,298,N, ,POLLING PLACE,109,47,36, 
LOS ANGELES,9001539A,7660,298,N, ,VBM PORTION,389,156,169, 
LOS ANGELES,9001539A,7660,298,N,1407,TOTAL,498,203,205, 
LOS ANGELES,9001660G,7668,298,N, ,POLLING PLACE,9,3,5, 
LOS ANGELES,9001660G,7668,298,N, ,VBM PORTION,7,3,4, 
LOS ANGELES,9001660G,7668,298,N,47,TOTAL,16,6,9, 
LOS ANGELES,9001686A,1445,298,N, ,POLLING PLACE,175,80,62, 
LOS ANGELES,9001686A,1445,298,N, ,VBM PORTION,1555,862,487, 
LOS ANGELES,9001686A,1445,298,N,2755,TOTAL,1730,942,549, 
LOS ANGELES,9001742A,1456,298,N, ,POLLING PLACE,198,84,91, 
LOS ANGELES,9001742A,1456,298,N, ,VBM PORTION,721,309,284, 
LOS ANGELES,9001742A,1456,298,N,3134,TOTAL,919,393,375, 
LOS ANGELES,9001804C,1472,283,N, ,POLLING PLACE,224,99,96, 
LOS ANGELES,9001804C,1472,283,N, ,VBM PORTION,590,236,251, 
LOS ANGELES,9001804C,1472,283,N,2234,TOTAL,814,335,347, 
LOS ANGELES,9001810A,1474,298,N, ,POLLING PLACE,269,123,98, 
LOS ANGELES,9001810A,1474,298,N, ,VBM PORTION,964,390,458, 
LOS ANGELES,9001810A,1474,298,N,3441,TOTAL,1233,513,556, 
LOS ANGELES,9001820D,7675,296,N, ,POLLING PLACE,20,6,9, 
LOS ANGELES,9001820D,7675,296,N, ,VBM PORTION,73,20,46, 
LOS ANGELES,9001820D,7675,296,N,221,TOTAL,93,26,55, 
LOS ANGELES,9001824A,1475,280,N, ,POLLING PLACE,405,166,140, 
LOS ANGELES,9001824A,1475,280,N, ,VBM PORTION,2268,1040,787, 
LOS ANGELES,9001824A,1475,280,N,3802,TOTAL,2673,1206,927, 
LOS ANGELES,9001842C,7676,298,N, ,POLLING PLACE,141,56,65, 
LOS ANGELES,9001842C,7676,298,N, ,VBM PORTION,425,178,194, 
LOS ANGELES,9001842C,7676,298,N,1471,TOTAL,566,234,259, 
LOS ANGELES,9001862C,1479,298,N, ,POLLING PLACE,232,95,86, 
LOS ANGELES,9001862C,1479,298,N, ,VBM PORTION,835,354,337, 
LOS ANGELES,9001862C,1479,298,N,2517,TOTAL,1067,449,423, 
LOS ANGELES,9001890B,1482,298,N, ,POLLING PLACE,361,173,127, 
LOS ANGELES,9001890B,1482,298,N, ,VBM PORTION,1560,591,622, 
LOS ANGELES,9001890B,1482,298,N,4458,TOTAL,1921,764,749, 
LOS ANGELES,9001895A,1484,298,N, ,POLLING PLACE,201,97,90, 
LOS ANGELES,9001895A,1484,298,N, ,VBM PORTION,639,316,272, 
LOS ANGELES,9001895A,1484,298,N,2682,TOTAL,840,413,362, 
LOS ANGELES,9001905A,1485,298,N, ,POLLING PLACE,226,112,91, 
LOS ANGELES,9001905A,1485,298,N, ,VBM PORTION,537,254,237, 
LOS ANGELES,9001905A,1485,298,N,2712,TOTAL,763,366,328, 
LOS ANGELES,9001911A,1488,298,N, ,POLLING PLACE,134,61,56, 
LOS ANGELES,9001911A,1488,298,N, ,VBM PORTION,315,144,138, 
LOS ANGELES,9001911A,1488,298,N,1568,TOTAL,449,205,194, 
LOS ANGELES,9002012A,7690,298,N, ,POLLING PLACE,29,13,12, 
LOS ANGELES,9002012A,7690,298,N, ,VBM PORTION,200,83,77, 
LOS ANGELES,9002012A,7690,298,N,693,TOTAL,229,96,89, 
LOS ANGELES,9002017B,1504,298,N, ,POLLING PLACE,305,149,104, 
LOS ANGELES,9002017B,1504,298,N, ,VBM PORTION,959,372,405, 
LOS ANGELES,9002017B,1504,298,N,3288,TOTAL,1264,521,509, 
LOS ANGELES,9002057A,7692,299,N, ,POLLING PLACE,30,8,12, 
LOS ANGELES,9002057A,7692,299,N, ,VBM PORTION,93,42,38, 
LOS ANGELES,9002057A,7692,299,N,450,TOTAL,123,50,50, 
LOS ANGELES,9002098A,1526,291,N, ,POLLING PLACE,269,112,117, 
LOS ANGELES,9002098A,1526,291,N, ,VBM PORTION,1168,397,622, 
LOS ANGELES,9002098A,1526,291,N,3164,TOTAL,1437,509,739, 
LOS ANGELES,9002099A,1527,298,N, ,POLLING PLACE,134,67,57, 
LOS ANGELES,9002099A,1527,298,N, ,VBM PORTION,333,151,144, 
LOS ANGELES,9002099A,1527,298,N,1776,TOTAL,467,218,201, 
LOS ANGELES,9002146A,1538,298,N, ,POLLING PLACE,179,83,65, 
LOS ANGELES,9002146A,1538,298,N, ,VBM PORTION,491,232,211, 
LOS ANGELES,9002146A,1538,298,N,2347,TOTAL,670,315,276, 
LOS ANGELES,9002159B,7694,485,N, ,POLLING PLACE,266,117,91, 
LOS ANGELES,9002159B,7694,485,N, ,VBM PORTION,962,344,382, 
LOS ANGELES,9002159B,7694,485,N,2798,TOTAL,1228,461,473, 
LOS ANGELES,9002165A,1543,298,N, ,POLLING PLACE,145,68,59, 
LOS ANGELES,9002165A,1543,298,N, ,VBM PORTION,551,270,244, 
LOS ANGELES,9002165A,1543,298,N,2442,TOTAL,696,338,303, 
LOS ANGELES,9002200A,1549,298,N, ,POLLING PLACE,144,59,74, 
LOS ANGELES,9002200A,1549,298,N, ,VBM PORTION,324,153,134, 
LOS ANGELES,9002200A,1549,298,N,1912,TOTAL,468,212,208, 
LOS ANGELES,9002445A,1595,298,N, ,POLLING PLACE,177,87,71, 
LOS ANGELES,9002445A,1595,298,N, ,VBM PORTION,611,275,280, 
LOS ANGELES,9002445A,1595,298,N,2383,TOTAL,788,362,351, 
LOS ANGELES,9002582A,7719,452,N, ,POLLING PLACE,51,28,15, 
LOS ANGELES,9002582A,7719,452,N, ,VBM PORTION,154,65,55, 
LOS ANGELES,9002582A,7719,452,N,808,TOTAL,205,93,70, 
